,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
2584,Sejad Salihović,ba BIH,MF,Hamburger SV,de Bundesliga,32,1984,10,370,37,12.1,4.1,4,,0,6,,12,0.20,3,9,-6,-1.46,-0.86,3.9,10.2,-6.2,-1.52,-1.12,Matches,a4e14205
2585,Sebastien Salles-Lamonge,fr FRA,MF,Rennes,fr Ligue 1,21,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,afc16a32
2586,Yoann Salmier,gf GUF,DF,Strasbourg,fr Ligue 1,24,1992,14,1107,79,32.4,12.3,12,87,10,2,32,19,1.21,14,23,-9,-0.73,-0.19,14.4,19.4,-5.0,-0.41,-0.10,Matches,c3725db2
2587,Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,27,1990,21,1890,90,55.3,21.0,21,90,21,0,,12,1.00,21,31,-10,-0.48,+0.52,23.1,26.9,-3.8,-0.18,+0.42,Matches,cfe852d8
2588,Brice Samba,cg CGO,GK,Caen,fr Ligue 1,23,1994,4,316,79,9.2,3.5,3,90,3,1,46,33,1.00,3,4,-1,-0.28,+0.41,3.9,4.6,-0.7,-0.21,-0.08,Matches,60d90c55
2589,Junior Sambia,fr FRA,MF,Montpellier,fr Ligue 1,20,1996,28,1543,55,45.1,17.1,16,81,8,12,21,7,1.43,16,13,+3,+0.17,+0.17,17.3,19.4,-2.1,-0.12,-0.40,Matches,24eb7ed6
2590,Frédéric Sammaritano,fr FRA,FWMF,Dijon,fr Ligue 1,31,1986,26,1429,55,41.8,15.9,16,79,4,10,17,4,1.08,23,28,-5,-0.31,+0.27,14.9,23.3,-8.3,-0.53,+0.10,Matches,8802c1d5
2591,Sergi Samper,es ESP,MF,Las Palmas,es La Liga,22,1995,2,143,72,4.2,1.6,2,72,0,0,,4,0.00,2,3,-1,-0.63,+0.72,1.3,2.1,-0.8,-0.49,+0.37,Matches,6a7586f4
2592,Jairo Samperio,es ESP,FWMF,Las Palmas,es La Liga,24,1993,11,556,51,16.3,6.2,6,67,0,5,30,4,0.45,3,18,-15,-2.43,-1.33,7.2,16.6,-9.4,-1.52,-0.81,Matches,c0a0c18f
2593,Jairo Samperio,es ESP,MFFW,Mainz 05,de Bundesliga,24,1993,2,36,18,1.2,0.4,0,,0,2,,5,0.50,1,1,0,0.00,+0.42,0.5,0.5,0.0,-0.12,+0.25,Matches,c0a0c18f
2594,Mario Sampirisi,it ITA,DF,Crotone,it Serie A,24,1992,31,2194,71,64.2,24.4,24,,19,7,,5,1.06,24,43,-19,-0.78,-0.27,21.4,41.1,-19.6,-0.81,-0.49,Matches,cda2ec29
2595,Víctor San Bartolomé,es ESP,MF,Athletic Club,es La Liga,17,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,8af42784
2596,Mikel San José,es ESP,MF,Athletic Club,es La Liga,28,1989,26,2155,83,63.0,23.9,24,86,20,2,51,7,1.00,24,36,-12,-0.50,-0.79,29.2,33.0,-3.9,-0.16,-0.39,Matches,003a5c72
2597,Antonio Sanabria,py PAR,FW,Betis,es La Liga,21,1996,17,853,50,24.9,9.5,8,81,5,9,23,2,1.59,22,17,+5,+0.53,+0.74,12.9,12.6,+0.3,+0.03,+0.15,Matches,0a447501
2598,Renato Sanches,pt POR,MF,Swansea City,eng Premier League,19,1997,12,702,59,20.5,7.8,9,,4,3,,5,0.42,3,10,-7,-0.90,-0.20,4.8,10.1,-5.3,-0.69,+0.03,Matches,032f894e
2599,Renato Sanches,pt POR,MF,Bayern Munich,de Bundesliga,19,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,032f894e
2600,Alexis Sánchez,cl CHI,MFFW,Arsenal,eng Premier League,28,1988,19,1503,79,43.9,16.7,17,,11,2,,0,1.89,31,21,+10,+0.60,-0.01,30.8,20.9,+10.0,+0.60,+0.10,Matches,2c0f8e9e
2601,Alexis Sánchez,cl CHI,FWMF,Manchester Utd,eng Premier League,28,1988,12,1043,87,30.5,11.6,12,,7,0,,1,2.08,17,11,+6,+0.52,-0.77,13.8,9.6,+4.2,+0.36,-0.05,Matches,2c0f8e9e
2602,Carlos Sánchez,co COL,MFDF,Fiorentina,it Serie A,31,1986,9,368,41,10.8,4.1,3,,3,6,,13,1.00,3,6,-3,-0.73,-1.06,3.5,8.0,-4.4,-1.09,-1.62,Matches,50b51fac
2603,Carlos Sánchez,co COL,MF,Espanyol,es La Liga,31,1986,14,1122,80,32.8,12.5,13,86,11,1,5,2,1.43,14,11,+3,+0.24,+0.59,13.7,15.7,-2.0,-0.16,+0.20,Matches,50b51fac
2604,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,21,1996,31,2534,82,74.1,28.2,29,,26,2,,1,2.16,53,21,+32,+1.14,+0.53,46.8,23.2,+23.6,+0.84,+0.11,Matches,da7b447d
2605,Sergio Sánchez,es ESP,DF,Espanyol,es La Liga,31,1986,2,101,51,3.0,1.1,1,68,0,1,33,10,0.50,0,1,-1,-0.89,-0.76,1.8,1.9,-0.1,-0.08,+0.22,Matches,83a83b0a
2606,Víctor Sánchez,es ESP,MFDF,Espanyol,es La Liga,29,1987,30,2457,82,71.8,27.3,29,83,22,1,45,2,1.37,28,31,-3,-0.11,+0.17,25.6,35.8,-10.2,-0.37,-0.28,Matches,ad4d0985
2607,Jadon Sancho,eng ENG,FW,Dortmund,de Bundesliga,17,2000,12,690,58,22.5,7.7,7,,7,5,,3,1.17,12,10,+2,+0.26,-0.31,15.0,7.5,+7.5,+0.99,+0.37,Matches,dbf053da
2608,Sandro,br BRA,MF,Benevento,it Serie A,28,1989,14,1153,82,33.7,12.8,13,,9,1,,3,0.79,17,28,-11,-0.86,+0.73,13.3,23.7,-10.4,-0.81,+0.16,Matches,c1c2c925
2609,Alex Sandro,br BRA,DF,Juventus,it Serie A,26,1991,26,2117,81,61.9,23.5,23,,21,3,,9,2.77,63,15,+48,+2.04,+1.07,36.6,16.2,+20.5,+0.87,+0.36,Matches,0d82903c
2610,Arona Sané,sn SEN,MFFW,Atlético Madrid,es La Liga,22,1995,1,65,65,1.9,0.7,0,,0,1,65,1,0.00,0,2,-2,-2.77,-3.79,0.6,0.9,-0.2,-0.31,-0.71,Matches,22df75d8
2611,Lamine Sané,sn SEN,DF,Werder Bremen,de Bundesliga,30,1987,11,786,71,25.7,8.7,9,,7,2,,5,0.55,2,14,-12,-1.37,-1.73,6.9,13.3,-6.4,-0.73,-0.74,Matches,125cb9fe
2612,Leroy Sané,de GER,FW,Manchester City,eng Premier League,21,1996,32,2419,76,70.7,26.9,27,,18,5,,2,2.63,72,22,+50,+1.86,-0.75,53.2,17.5,+35.6,+1.33,-0.40,Matches,2b114be3
2613,Salif Sané,sn SEN,DF,Hannover 96,de Bundesliga,26,1990,32,2879,90,94.1,32.0,32,,31,0,,0,1.13,43,53,-10,-0.31,-0.31,43.2,53.1,-9.9,-0.31,+0.23,Matches,791abba1
2614,Ibrahim Sangaré,ci CIV,MF,Toulouse,fr Ligue 1,19,1997,20,1588,79,46.4,17.6,18,87,15,2,14,8,1.15,21,25,-4,-0.23,+0.36,21.6,25.1,-3.5,-0.20,-0.05,Matches,bced0375
2615,Younousse Sankharé,sn SEN,MF,Bordeaux,fr Ligue 1,27,1989,29,1881,65,55.0,20.9,20,79,11,9,34,4,1.52,32,28,+4,+0.19,+0.13,29.9,22.8,+7.0,+0.34,+0.31,Matches,c650629d
2616,Baissama Sankoh,gn GUI,MFDF,Caen,fr Ligue 1,25,1992,26,1540,59,45.0,17.1,15,85,12,11,24,7,1.04,13,31,-18,-1.05,-0.72,18.9,25.2,-6.3,-0.37,-0.42,Matches,a8b4a643
2617,Siriki Sanogo,ci CIV,MF,Benevento,it Serie A,15,2001,2,39,20,1.1,0.4,0,,0,2,,6,1.50,0,0,0,0.00,+1.36,0.6,0.2,+0.3,+0.77,+1.71,Matches,ff120e44
2618,Yaya Sanogo,fr FRA,FW,Toulouse,fr Ligue 1,24,1993,27,1513,56,44.2,16.8,17,78,8,10,19,2,0.96,19,24,-5,-0.30,+0.22,20.9,23.1,-2.2,-0.13,+0.08,Matches,11ced928
2619,Killian Sanson,fr FRA,MF,Montpellier,fr Ligue 1,20,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,063544f2
2620,Morgan Sanson,fr FRA,MF,Marseille,fr Ligue 1,22,1994,33,2165,66,63.3,24.1,25,80,9,8,22,3,1.94,43,31,+12,+0.50,-1.01,42.1,28.3,+13.7,+0.57,-1.05,Matches,6e7f1353
2621,Nicola Sansone,it ITA,FWMF,Villarreal,es La Liga,25,1991,18,635,35,18.6,7.1,5,68,1,13,23,6,1.78,17,11,+6,+0.85,+0.82,11.6,9.0,+2.7,+0.38,+0.47,Matches,7eb97a8e
2622,Baptiste Santamaria,fr FRA,MF,Angers,fr Ligue 1,22,1995,31,2591,84,75.8,28.8,30,85,22,1,40,2,1.06,28,43,-15,-0.52,-1.06,33.2,35.0,-1.8,-0.06,-0.45,Matches,5e22e2a4
2623,Ivan Santini,hr CRO,FW,Caen,fr Ligue 1,28,1989,32,2777,87,81.2,30.9,31,89,30,1,16,1,1.00,22,45,-23,-0.75,-0.47,34.5,39.3,-4.8,-0.16,-0.10,Matches,086d7db3
2624,Davide Santon,it ITA,DF,Inter,it Serie A,26,1991,15,836,56,24.4,9.3,9,,5,6,,19,1.93,13,9,+4,+0.43,-0.68,11.8,11.9,-0.1,-0.01,-0.69,Matches,88c89891
2625,Christian Santos,ve VEN,FW,Alavés,es La Liga,29,1988,10,436,44,12.7,4.8,5,79,3,5,8,3,1.20,3,8,-5,-1.03,-0.88,4.1,6.9,-2.8,-0.57,-0.13,Matches,4efd29bb
2626,Douglas Santos,br BRA,DF,Hamburger SV,de Bundesliga,23,1994,27,2378,88,77.7,26.4,26,,25,1,,3,0.78,22,43,-21,-0.79,-0.40,28.5,44.7,-16.1,-0.61,-0.34,Matches,c50e5bba
2627,Samir Santos,br BRA,DF,Udinese,it Serie A,22,1994,31,2569,83,75.1,28.5,30,,24,1,,2,0.87,29,49,-20,-0.70,-1.23,28.6,36.0,-7.4,-0.26,-0.40,Matches,92b4758e
2628,Antonio Santurro,do DOM,GK,Bologna,it Serie A,25,1992,1,90,90,2.6,1.0,1,,1,0,,13,1.00,1,1,0,0.00,+0.32,0.3,1.9,-1.6,-1.64,-1.28,Matches,61228681
2629,Riccardo Saponara,it ITA,MFFW,Fiorentina,it Serie A,25,1991,18,900,50,26.3,10.0,10,,2,8,,11,1.50,15,11,+4,+0.40,+0.26,17.2,9.8,+7.4,+0.74,+0.52,Matches,3bb7af3b
2630,Pablo Sarabia,es ESP,FWMF,Sevilla,es La Liga,25,1992,34,2395,70,70.0,26.6,27,82,15,7,24,1,1.50,36,35,+1,+0.04,+0.92,42.2,35.3,+6.9,+0.26,+0.41,Matches,9744ff80
2631,Yusuf Sari,tr TUR,FW,Marseille,fr Ligue 1,18,1998,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,-0.87,0.0,0.0,0.0,0.00,-0.96,Matches,a2da58b1
2632,Bouna Sarr,sn SEN,DFFW,Marseille,fr Ligue 1,25,1992,29,1789,62,52.3,19.9,18,86,15,11,22,6,1.93,43,20,+23,+1.16,+0.61,45.4,18.9,+26.5,+1.33,+0.79,Matches,1a4b9094
2633,Ismaila Sarr,sn SEN,FWMF,Rennes,fr Ligue 1,19,1998,24,1858,77,54.3,20.6,22,83,12,2,19,0,1.54,29,24,+5,+0.24,+0.18,31.4,24.6,+6.8,+0.33,+0.70,Matches,bfdb33aa
2634,Malang Sarr,fr FRA,DF,Nice,fr Ligue 1,18,1999,21,1322,63,38.7,14.7,13,87,11,8,24,11,1.38,19,18,+1,+0.07,+0.07,17.7,19.1,-1.3,-0.09,-0.14,Matches,4315f30d
2635,Imanol Sarriegi,es ESP,MFFW,Eibar,es La Liga,22,1995,3,41,14,1.2,0.5,0,,0,3,14,2,2.00,1,1,0,0.00,+0.16,0.1,0.2,-0.1,-0.32,-0.24,Matches,b32b7d1b
2636,Marco Sau,it ITA,FWMF,Cagliari,it Serie A,29,1987,29,1311,45,38.3,14.6,16,,4,13,,7,1.00,15,24,-9,-0.62,+0.19,18.7,24.4,-5.8,-0.39,+0.19,Matches,1ad1f50d
2637,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,26,1991,27,2299,85,67.2,25.5,26,88,25,1,21,4,1.93,31,15,+16,+0.63,-0.98,30.7,25.2,+5.5,+0.22,-0.50,Matches,f6ac68c1
2638,Gianluca Scamacca,it ITA,FWMF,Sassuolo,it Serie A,18,1999,3,23,8,0.7,0.3,0,,0,3,,15,0.00,0,0,0,0.00,+0.79,0.9,0.3,+0.6,+2.30,+2.39,Matches,8790f988
2639,Micheal Scarf,gh GHA,DF,Napoli,it Serie A,18,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,568a0378
2640,Fabian Schär,ch SUI,DF,La Coruña,es La Liga,25,1991,25,2219,89,64.9,24.7,25,89,24,0,,8,0.88,27,56,-29,-1.18,-0.50,31.3,42.8,-11.6,-0.47,-0.80,Matches,c8aa95da
2641,Ezequiel Schelotto,it ITA,DF,Brighton,eng Premier League,28,1989,20,1318,66,38.5,14.6,15,,12,5,,14,0.90,16,30,-14,-0.96,-0.70,17.3,21.2,-4.0,-0.27,+0.15,Matches,a6e316c1
2642,Pasquale Schiattarella,it ITA,MF,SPAL,it Serie A,30,1987,31,1990,64,58.2,22.1,22,,14,9,,3,0.94,22,37,-15,-0.68,-0.36,21.9,35.9,-14.0,-0.63,-0.13,Matches,bd84fc61
2643,Eros Schiavon,it ITA,MFDF,SPAL,it Serie A,34,1983,12,390,33,11.4,4.3,3,,2,9,,20,1.08,4,7,-3,-0.69,-0.19,2.7,6.6,-3.9,-0.93,-0.40,Matches,c4f97172
2644,Patrik Schick,cz CZE,FWMF,Roma,it Serie A,21,1996,22,992,45,29.0,11.0,10,,5,12,,6,1.73,14,4,+10,+0.91,+0.05,19.1,8.1,+11.0,+1.00,+0.44,Matches,5d4f7d61
2645,Julian Schieber,de GER,MFFW,Hertha BSC,de Bundesliga,28,1989,3,56,19,1.8,0.6,0,,0,3,,0,1.33,1,1,0,0.00,+0.09,1.3,1.3,0.0,0.00,+0.16,Matches,37c213cf
2646,Christopher Schindler,de GER,DF,Huddersfield,eng Premier League,27,1990,37,3265,88,95.5,36.3,37,,35,0,,0,1.00,28,53,-25,-0.69,+2.21,30.1,46.6,-16.5,-0.45,-0.03,Matches,8ae9869d
2647,Sven Schipplock,de GER,FWMF,Hamburger SV,de Bundesliga,28,1988,9,338,38,11.0,3.8,3,,3,6,,7,0.80,2,9,-7,-1.86,-1.30,4.8,8.6,-3.8,-1.00,-0.53,Matches,53eeaf6a
2648,Jeffrey Schlupp,gh GHA,DFMF,Crystal Palace,eng Premier League,24,1992,24,1745,73,51.0,19.4,21,,15,3,,3,1.25,22,30,-8,-0.41,-0.31,26.6,24.7,+1.9,+0.10,-0.08,Matches,3312f911
2649,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,30,1986,33,2965,90,86.7,32.9,33,,32,0,,0,1.30,49,47,+2,+0.06,+1.25,44.7,39.6,+5.1,+0.16,+0.80,Matches,53af52f3
2650,Marcel Schmelzer,de GER,DF,Dortmund,de Bundesliga,29,1988,18,1491,83,48.7,16.6,17,,14,1,,1,1.11,24,32,-8,-0.48,-1.92,27.7,22.5,+5.2,+0.31,-0.75,Matches,89565ac5
2651,Jonathan Schmid,fr FRA,DFFW,Augsburg,de Bundesliga,27,1990,25,1473,59,48.1,16.4,15,,10,10,,6,1.00,16,23,-7,-0.43,-0.65,16.6,20.6,-3.9,-0.24,-0.65,Matches,088ca1bd
2652,João Schmidt,br BRA,MF,Atalanta,it Serie A,24,1993,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,3630db1a
2653,Manuel Schmiedebach,de GER,MF,Hannover 96,de Bundesliga,28,1988,6,165,28,5.4,1.8,2,,0,4,,7,1.00,2,4,-2,-1.09,-0.84,2.3,3.3,-1.0,-0.52,-0.21,Matches,d8f5dc3d
2654,Benno Schmitz,de GER,DF,RB Leipzig,de Bundesliga,22,1994,2,82,41,2.7,0.9,1,,0,1,,10,1.50,0,1,-1,-1.10,-1.25,1.2,0.9,+0.3,+0.33,+0.18,Matches,ad00b1a8
2655,Morgan Schneiderlin,fr FRA,MF,Everton,eng Premier League,27,1989,30,2130,71,62.3,23.7,24,,19,6,,4,1.33,22,38,-16,-0.68,-0.82,23.4,31.7,-8.3,-0.35,-0.10,Matches,51b41c5c
2656,Alessandro Schöpf,at AUT,DFFW,Schalke 04,de Bundesliga,23,1994,15,808,54,26.4,9.0,9,,5,6,,9,2.07,11,9,+2,+0.22,-0.34,10.5,9.9,+0.6,+0.07,-0.17,Matches,106bca06
2657,Nico Schulz,de GER,FWMF,Hoffenheim,de Bundesliga,24,1993,27,1780,66,58.2,19.8,19,,17,8,,3,1.74,44,27,+17,+0.86,+0.79,36.4,23.6,+12.8,+0.65,+1.32,Matches,fa274d97
2658,André Schürrle,de GER,FW,Dortmund,de Bundesliga,26,1990,18,1236,69,40.4,13.7,11,,7,7,,3,1.17,17,23,-6,-0.44,-1.57,23.6,20.9,+2.7,+0.20,-0.84,Matches,ecbb3fdf
2659,Julian Schuster,de GER,DFMF,Freiburg,de Bundesliga,32,1985,18,1308,73,42.7,14.5,16,,11,2,,13,0.94,11,27,-16,-1.10,-0.69,18.0,21.9,-3.8,-0.26,-0.12,Matches,d0421d25
2660,Pirmin Schwegler,ch SUI,MF,Hannover 96,de Bundesliga,30,1987,29,2319,80,75.8,25.8,27,,16,2,,0,1.21,29,37,-8,-0.31,-0.07,31.5,36.4,-4.8,-0.19,+0.56,Matches,5528407e
2661,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,25,1992,33,2906,88,95.0,32.3,33,,32,0,,0,1.06,28,53,-25,-0.77,-1.36,38.3,44.6,-6.3,-0.20,-0.06,Matches,0d55d942
2662,Kyle Scott,eng ENG,MF,Chelsea,eng Premier League,19,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,1c24aacf
2663,Simone Scuffet,it ITA,GK,Udinese,it Serie A,21,1996,6,540,90,15.8,6.0,6,,6,0,,32,0.50,7,11,-4,-0.67,-0.32,6.1,8.2,-2.1,-0.34,-0.22,Matches,41bd99ea
2664,Andrea Seculin,it ITA,GK,Chievo,it Serie A,27,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches,c4f573f4
2665,Sergio Segura García,es ESP,DF,Leganés,es La Liga,21,1995,1,23,23,0.7,0.3,0,,0,1,23,0,0.00,1,0,+1,+3.91,+4.39,,,,,,Matches,3536fdc1
2666,Ernest Seka,gn GUI,DF,Strasbourg,fr Ligue 1,30,1987,27,2178,81,63.7,24.2,25,86,22,2,19,10,1.15,35,44,-9,-0.37,+0.64,32.3,37.8,-5.6,-0.23,+0.30,Matches,e1b3413d
2667,Vahid Selimović,lu LUX,DF,Metz,fr Ligue 1,20,1997,13,1056,81,30.9,11.7,12,85,9,1,37,8,1.00,15,23,-8,-0.68,+0.61,12.3,22.6,-10.2,-0.87,-0.08,Matches,6aeb647a
2668,Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,22,1995,27,1886,70,61.6,21.0,19,,12,8,,0,1.26,28,32,-4,-0.19,-0.27,29.0,29.0,0.0,0.00,+0.39,Matches,1238a3f9
2669,Ole Selnæs,no NOR,MF,Saint-Étienne,fr Ligue 1,23,1994,26,2058,79,60.2,22.9,23,84,18,3,39,6,1.77,33,27,+6,+0.26,+0.86,33.6,33.8,-0.2,-0.01,+0.18,Matches,4db2157a
2670,Nélson Semedo,pt POR,DF,Barcelona,es La Liga,23,1993,24,1493,62,43.7,16.6,17,81,11,7,16,6,2.46,50,18,+32,+1.93,+0.15,36.2,19.8,+16.3,+0.98,-0.20,Matches,d04b94db
2671,Rúben Semedo,pt POR,DFMF,Villarreal,es La Liga,23,1994,4,231,58,6.8,2.6,3,76,2,1,4,3,0.75,0,7,-7,-2.73,-3.12,1.9,4.6,-2.7,-1.06,-1.13,Matches,c904f3d5
2672,Stefano Sensi,it ITA,MF,Sassuolo,it Serie A,21,1995,17,1041,61,30.4,11.6,10,,7,7,,10,1.12,10,21,-11,-0.95,-0.23,13.6,18.2,-4.5,-0.39,-0.46,Matches,b70bde8f
2673,Luigi Sepe,it ITA,GK,Napoli,it Serie A,26,1991,1,90,90,2.6,1.0,1,,1,0,,37,1.00,0,0,0,0.00,-1.30,0.7,0.5,+0.2,+0.19,-0.89,Matches,343f753a
2674,Suat Serdar,de GER,MF,Mainz 05,de Bundesliga,20,1997,25,1703,68,55.7,18.9,16,,11,9,,4,1.12,20,30,-10,-0.53,-0.26,20.3,29.4,-9.1,-0.48,-0.25,Matches,b3325a30
2675,Jean Seri,ci CIV,MF,Nice,fr Ligue 1,26,1991,31,2615,84,76.5,29.1,30,86,21,1,22,1,1.58,47,40,+7,+0.24,+0.91,41.1,35.8,+5.3,+0.18,+0.80,Matches,10efd0e1
2676,Luca Seri,it ITA,GK,SPAL,it Serie A,17,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,b107b681
2677,Julien Serrano,fr FRA,DF,Monaco,fr Ligue 1,19,1998,4,280,70,8.2,3.1,3,90,3,1,10,2,2.25,6,1,+5,+1.61,+0.60,5.9,3.2,+2.7,+0.87,+0.56,Matches,7fb301af
2678,Grégory Sertic,fr FRA,DFMF,Marseille,fr Ligue 1,27,1989,7,350,50,10.2,3.9,3,90,3,4,20,8,1.86,8,12,-4,-1.03,-2.11,9.4,11.0,-1.6,-0.42,-1.53,Matches,c4527123
2679,Nicolás Sessa,ar ARG,MF,Stuttgart,de Bundesliga,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,51900795
2680,Stéphane Sessègnon,bj BEN,MFFW,Montpellier,fr Ligue 1,33,1984,16,985,62,28.8,10.9,11,80,5,5,21,4,1.56,10,5,+5,+0.46,+0.53,12.0,9.5,+2.5,+0.23,+0.19,Matches,35c5f9b1
2681,Lee Seung-woo,kr KOR,MFFW,Hellas Verona,it Serie A,19,1998,14,358,26,10.5,4.0,1,,1,13,,19,0.00,2,9,-7,-1.76,-0.55,3.0,5.5,-2.5,-0.63,+0.38,Matches,0f22b650
2682,Stephan El Shaarawy,it ITA,FW,Roma,it Serie A,24,1992,33,2155,65,63.0,23.9,25,,9,8,,3,2.12,40,20,+20,+0.84,-0.09,40.5,21.7,+18.8,+0.79,+0.26,Matches,d3aaad90
2683,Meritan Shabani,al ALB,FW,Bayern Munich,de Bundesliga,18,1999,1,55,55,1.8,0.6,1,,0,0,,1,3.00,1,0,+1,+1.64,-0.25,0.5,1.1,-0.6,-0.96,-2.30,Matches,012c38ec
2684,Xherdan Shaqiri,ch SUI,MFFW,Stoke City,eng Premier League,25,1991,36,3039,84,88.9,33.8,36,,26,0,,1,0.92,30,58,-28,-0.83,+0.35,31.6,54.3,-22.7,-0.67,+0.11,Matches,6421ec64
2685,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,22,1995,11,790,72,23.1,8.8,8,,7,3,,10,2.18,14,2,+12,+1.37,+0.41,12.4,6.7,+5.7,+0.65,+0.33,Matches,9c94165b
2686,Ryan Shawcross,eng ENG,DF,Stoke City,eng Premier League,29,1987,27,2371,88,69.3,26.3,27,,26,0,,2,1.00,26,40,-14,-0.53,+1.10,25.7,41.1,-15.5,-0.59,+0.32,Matches,285a3d44
2687,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,25,1992,30,2270,76,66.4,25.2,25,,20,5,,3,1.13,25,28,-3,-0.12,+0.27,26.7,35.4,-8.7,-0.34,-0.18,Matches,3727dd3c
2688,Gaku Shibasaki,jp JPN,MFFW,Getafe,es La Liga,25,1992,22,1002,46,29.3,11.1,12,68,1,10,19,6,1.23,8,7,+1,+0.09,-0.21,14.0,11.4,+2.6,+0.23,+0.02,Matches,d2ac648c
2689,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,25,1992,27,2153,80,63.0,23.9,25,85,19,2,18,2,2.19,60,30,+30,+1.25,+0.54,42.2,28.0,+14.2,+0.59,+0.62,Matches,4c5b714f
2690,Sidnei,br BRA,DF,La Coruña,es La Liga,27,1989,21,1778,85,52.0,19.8,21,85,19,0,,3,0.86,21,34,-13,-0.66,+0.71,26.8,25.9,+0.9,+0.05,+0.49,Matches,b14d0c5d
2691,Steve Sidwell,eng ENG,MF,Brighton,eng Premier League,34,1982,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,ed083afd
2692,Jaime Sierra Mateos,es ESP,FWMF,Leganés,es La Liga,19,1998,2,28,14,0.8,0.3,0,,0,2,14,1,1.50,2,1,+1,+3.21,+3.69,0.3,0.8,-0.5,-1.67,-1.48,Matches,aaa4239e
2693,Vincent Sierro,ch SUI,MFFW,Freiburg,de Bundesliga,21,1995,4,213,53,7.0,2.4,3,,1,1,,5,1.00,0,3,-3,-1.27,-0.60,1.2,2.7,-1.5,-0.64,-0.48,Matches,92ffb8f9
2694,Gylfi Sigurðsson,is ISL,MFFW,Everton,eng Premier League,27,1989,27,2259,84,66.1,25.1,25,,20,2,,2,1.26,31,40,-9,-0.36,+0.03,26.3,37.5,-11.3,-0.45,-0.40,Matches,76dd1480
2695,Kolbeinn Sigþórsson,is ISL,FW,Nantes,fr Ligue 1,27,1990,2,25,13,0.7,0.3,0,,0,2,13,1,3.00,0,0,0,0.00,+0.13,0.1,0.2,-0.1,-0.53,-0.64,Matches,adf825b9
2696,Adrien Silva,pt POR,MF,Leicester City,eng Premier League,28,1989,12,761,63,22.3,8.5,9,,5,3,,3,1.00,13,18,-5,-0.59,-0.63,10.5,11.5,-1.0,-0.12,-0.22,Matches,d6f88a1d
2697,André Silva,pt POR,FW,Milan,it Serie A,21,1995,24,940,39,27.5,10.4,7,,4,17,,14,1.50,14,10,+4,+0.38,+0.02,14.4,10.0,+4.5,+0.43,+0.07,Matches,3effaa34
2698,Bernardo Silva,pt POR,FWMF,Manchester City,eng Premier League,22,1994,35,1533,44,44.8,17.0,15,,9,20,,3,2.60,46,10,+36,+2.11,+0.06,32.0,10.6,+21.4,+1.26,-0.33,Matches,3eb22ec9
2699,David Silva,es ESP,MF,Manchester City,eng Premier League,31,1986,29,2430,84,71.1,27.0,28,,20,1,,1,2.76,79,18,+61,+2.26,+0.62,56.7,17.0,+39.6,+1.47,+0.09,Matches,e2716bd0
2700,Gabriel Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,26,1991,25,2077,83,60.7,23.1,23,88,19,2,25,1,1.60,29,25,+4,+0.17,+0.64,33.8,30.2,+3.5,+0.15,+0.60,Matches,4914ed4a
2701,Jonathan Silva,ar ARG,DF,Roma,it Serie A,23,1994,2,112,56,3.3,1.2,1,,1,1,,11,3.00,3,0,+3,+2.41,+1.59,1.4,0.9,+0.5,+0.37,-0.33,Matches,f2308b33
2702,Matheus Pereira da Silva,br BRA,MF,Bordeaux,fr Ligue 1,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,bef22bc4
2703,Thiago Silva,br BRA,DF,Paris S-G,fr Ligue 1,32,1984,25,2115,85,61.8,23.5,24,86,22,1,45,7,2.56,76,16,+60,+2.55,+1.24,54.9,18.8,+36.1,+1.54,+0.46,Matches,86e7deaf
