,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
2221,Víctor Sánchez,es ESP,MFDF,Espanyol,es La Liga,29,1987,27.3,0,13,1,7.7,0.48,0.04,0.00,0.00,22.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,ad4d0985
2222,Jadon Sancho,eng ENG,FW,Dortmund,de Bundesliga,17,2000,7.7,1,10,4,40.0,1.30,0.52,0.10,0.25,12.6,0,0,0,1.9,1.9,0.19,-0.9,-0.9,Matches,dbf053da
2223,Sandro,br BRA,MF,Benevento,it Serie A,28,1989,12.8,1,15,4,26.7,1.17,0.31,0.07,0.25,23.2,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches,c1c2c925
2224,Alex Sandro,br BRA,DF,Juventus,it Serie A,26,1991,23.5,4,18,7,38.9,0.77,0.30,0.22,0.57,15.9,0,0,0,1.6,1.6,0.09,+2.4,+2.4,Matches,0d82903c
2225,Arona Sané,sn SEN,MFFW,Atlético Madrid,es La Liga,22,1995,0.7,0,1,1,100.0,1.38,1.38,0.00,0.00,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,22df75d8
2226,Lamine Sané,sn SEN,DF,Werder Bremen,de Bundesliga,30,1987,8.7,1,4,1,25.0,0.46,0.11,0.25,1.00,11.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,125cb9fe
2227,Leroy Sané,de GER,FW,Manchester City,eng Premier League,21,1996,26.9,10,57,19,33.3,2.12,0.71,0.18,0.53,17.0,6,0,0,5.8,5.8,0.10,+4.2,+4.2,Matches,2b114be3
2228,Salif Sané,sn SEN,DF,Hannover 96,de Bundesliga,26,1990,32.0,4,28,10,35.7,0.88,0.31,0.14,0.40,18.1,2,0,0,1.9,1.9,0.07,+2.1,+2.1,Matches,791abba1
2229,Ibrahim Sangaré,ci CIV,MF,Toulouse,fr Ligue 1,19,1997,17.6,1,20,5,25.0,1.13,0.28,0.05,0.20,25.1,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches,bced0375
2230,Younousse Sankharé,sn SEN,MF,Bordeaux,fr Ligue 1,27,1989,20.9,7,39,14,35.9,1.87,0.67,0.18,0.50,15.5,0,0,0,5.5,5.5,0.14,+1.5,+1.5,Matches,c650629d
2231,Baissama Sankoh,gn GUI,MFDF,Caen,fr Ligue 1,25,1992,17.1,0,3,1,33.3,0.18,0.06,0.00,0.00,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,a8b4a643
2232,Siriki Sanogo,ci CIV,MF,Benevento,it Serie A,15,2001,0.4,0,1,0,0.0,2.31,0.00,0.00,,21.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,ff120e44
2233,Yaya Sanogo,fr FRA,FW,Toulouse,fr Ligue 1,24,1993,16.8,6,49,22,44.9,2.91,1.31,0.12,0.27,11.6,0,0,0,7.7,7.7,0.16,-1.7,-1.7,Matches,11ced928
2234,Morgan Sanson,fr FRA,MF,Marseille,fr Ligue 1,22,1994,24.1,9,53,24,45.3,2.20,1.00,0.17,0.38,18.8,0,0,0,5.7,5.7,0.11,+3.3,+3.3,Matches,6e7f1353
2235,Nicola Sansone,it ITA,FWMF,Villarreal,es La Liga,25,1991,7.1,5,14,6,42.9,1.98,0.85,0.29,0.67,24.1,2,1,1,2.9,2.1,0.15,+2.1,+1.9,Matches,7eb97a8e
2236,Baptiste Santamaria,fr FRA,MF,Angers,fr Ligue 1,22,1995,28.8,0,18,1,5.6,0.63,0.03,0.00,0.00,27.2,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches,5e22e2a4
2237,Ivan Santini,hr CRO,FW,Caen,fr Ligue 1,28,1989,30.9,11,82,30,36.6,2.66,0.97,0.07,0.20,16.8,0,5,6,15.0,10.3,0.13,-4.0,-4.3,Matches,086d7db3
2238,Davide Santon,it ITA,DF,Inter,it Serie A,26,1991,9.3,0,7,2,28.6,0.75,0.22,0.00,0.00,26.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,88c89891
2239,Christian Santos,ve VEN,FW,Alavés,es La Liga,29,1988,4.8,2,7,5,71.4,1.44,1.03,0.29,0.40,13.7,0,0,0,0.9,0.9,0.13,+1.1,+1.1,Matches,4efd29bb
2240,Douglas Santos,br BRA,DF,Hamburger SV,de Bundesliga,23,1994,26.4,1,22,7,31.8,0.83,0.26,0.05,0.14,27.5,1,0,0,1.0,1.0,0.05,0.0,0.0,Matches,c50e5bba
2241,Samir Santos,br BRA,DF,Udinese,it Serie A,22,1994,28.5,2,7,2,28.6,0.25,0.07,0.29,1.00,17.6,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Matches,92b4758e
2242,Antonio Santurro,do DOM,GK,Bologna,it Serie A,25,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,61228681
2243,Riccardo Saponara,it ITA,MFFW,Fiorentina,it Serie A,25,1991,10.0,0,21,6,28.6,2.10,0.60,0.00,0.00,20.9,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,3bb7af3b
2244,Pablo Sarabia,es ESP,FWMF,Sevilla,es La Liga,25,1992,26.6,6,56,25,44.6,2.10,0.94,0.09,0.20,19.3,2,1,1,7.3,6.5,0.12,-1.3,-1.5,Matches,9744ff80
2245,Yusuf Sari,tr TUR,FW,Marseille,fr Ligue 1,18,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2da58b1
2246,Bouna Sarr,sn SEN,DFFW,Marseille,fr Ligue 1,25,1992,19.9,0,18,2,11.1,0.91,0.10,0.00,0.00,21.1,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches,1a4b9094
2247,Ismaila Sarr,sn SEN,FWMF,Rennes,fr Ligue 1,19,1998,20.6,5,41,14,34.1,1.99,0.68,0.12,0.36,16.5,0,0,0,4.8,4.8,0.12,+0.2,+0.2,Matches,bfdb33aa
2248,Malang Sarr,fr FRA,DF,Nice,fr Ligue 1,18,1999,14.7,0,8,1,12.5,0.54,0.07,0.00,0.00,17.4,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,4315f30d
2249,Imanol Sarriegi,es ESP,MFFW,Eibar,es La Liga,22,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b32b7d1b
2250,Marco Sau,it ITA,FWMF,Cagliari,it Serie A,29,1987,14.6,2,24,9,37.5,1.65,0.62,0.08,0.22,15.8,1,0,1,3.5,2.7,0.11,-1.5,-0.7,Matches,1ad1f50d
2251,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,26,1991,25.5,0,3,1,33.3,0.12,0.04,0.00,0.00,11.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,f6ac68c1
2252,Gianluca Scamacca,it ITA,FWMF,Sassuolo,it Serie A,18,1999,0.3,0,3,0,0.0,11.74,0.00,0.00,,29.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,8790f988
2253,Fabian Schär,ch SUI,DF,La Coruña,es La Liga,25,1991,24.7,2,18,6,33.3,0.73,0.24,0.11,0.33,20.2,3,0,0,3.0,3.0,0.17,-1.0,-1.0,Matches,c8aa95da
2254,Ezequiel Schelotto,it ITA,DF,Brighton,eng Premier League,28,1989,14.6,0,6,2,33.3,0.41,0.14,0.00,0.00,21.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a6e316c1
2255,Pasquale Schiattarella,it ITA,MF,SPAL,it Serie A,30,1987,22.1,1,20,3,15.0,0.90,0.14,0.05,0.33,26.0,0,0,0,0.7,0.7,0.03,+0.3,+0.3,Matches,bd84fc61
2256,Eros Schiavon,it ITA,MFDF,SPAL,it Serie A,34,1983,4.3,0,1,0,0.0,0.23,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,c4f97172
2257,Patrik Schick,cz CZE,FWMF,Roma,it Serie A,21,1996,11.0,2,27,11,40.7,2.45,1.00,0.07,0.18,12.2,0,0,0,3.1,3.1,0.12,-1.1,-1.1,Matches,5d4f7d61
2258,Julian Schieber,de GER,MFFW,Hertha BSC,de Bundesliga,28,1989,0.6,0,1,0,0.0,1.61,0.00,0.00,,12.3,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches,37c213cf
2259,Christopher Schindler,de GER,DF,Huddersfield,eng Premier League,27,1990,36.3,0,10,0,0.0,0.28,0.00,0.00,,8.7,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches,8ae9869d
2260,Sven Schipplock,de GER,FWMF,Hamburger SV,de Bundesliga,28,1988,3.8,0,5,2,40.0,1.33,0.53,0.00,0.00,13.3,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches,53eeaf6a
2261,Jeffrey Schlupp,gh GHA,DFMF,Crystal Palace,eng Premier League,24,1992,19.4,0,15,2,13.3,0.77,0.10,0.00,0.00,18.1,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches,3312f911
2262,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,30,1986,32.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53af52f3
2263,Marcel Schmelzer,de GER,DF,Dortmund,de Bundesliga,29,1988,16.6,0,5,1,20.0,0.30,0.06,0.00,0.00,21.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,89565ac5
2264,Jonathan Schmid,fr FRA,DFFW,Augsburg,de Bundesliga,27,1990,16.4,0,23,6,26.1,1.41,0.37,0.00,0.00,20.3,3,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches,088ca1bd
2265,Manuel Schmiedebach,de GER,MF,Hannover 96,de Bundesliga,28,1988,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d8f5dc3d
2266,Benno Schmitz,de GER,DF,RB Leipzig,de Bundesliga,22,1994,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad00b1a8
2267,Morgan Schneiderlin,fr FRA,MF,Everton,eng Premier League,27,1989,23.7,0,5,0,0.0,0.21,0.00,0.00,,14.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,51b41c5c
2268,Alessandro Schöpf,at AUT,DFFW,Schalke 04,de Bundesliga,23,1994,9.0,0,9,3,33.3,1.00,0.33,0.00,0.00,24.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,106bca06
2269,Nico Schulz,de GER,FWMF,Hoffenheim,de Bundesliga,24,1993,19.8,1,17,7,41.2,0.86,0.35,0.06,0.14,19.6,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,fa274d97
2270,André Schürrle,de GER,FW,Dortmund,de Bundesliga,26,1990,13.7,1,35,11,31.4,2.55,0.80,0.03,0.09,17.4,0,0,1,4.1,3.4,0.10,-3.1,-2.4,Matches,ecbb3fdf
2271,Julian Schuster,de GER,DFMF,Freiburg,de Bundesliga,32,1985,14.5,0,12,1,8.3,0.83,0.07,0.00,0.00,31.2,8,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,d0421d25
2272,Pirmin Schwegler,ch SUI,MF,Hannover 96,de Bundesliga,30,1987,25.8,0,12,1,8.3,0.47,0.04,0.00,0.00,23.9,3,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,5528407e
2273,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,25,1992,32.3,0,1,0,0.0,0.03,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,0d55d942
2274,Simone Scuffet,it ITA,GK,Udinese,it Serie A,21,1996,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41bd99ea
2275,Sergio Segura García,es ESP,DF,Leganés,es La Liga,21,1995,0.3,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,3536fdc1
2276,Ernest Seka,gn GUI,DF,Strasbourg,fr Ligue 1,30,1987,24.2,1,15,3,20.0,0.62,0.12,0.07,0.33,18.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,e1b3413d
2277,Vahid Selimović,lu LUX,DF,Metz,fr Ligue 1,20,1997,11.7,0,2,0,0.0,0.17,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6aeb647a
2278,Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,22,1995,21.0,10,46,21,45.7,2.20,1.00,0.20,0.43,13.9,0,1,1,7.7,6.9,0.16,+2.3,+2.1,Matches,1238a3f9
2279,Ole Selnæs,no NOR,MF,Saint-Étienne,fr Ligue 1,23,1994,22.9,0,14,4,28.6,0.61,0.17,0.00,0.00,25.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,4db2157a
2280,Nélson Semedo,pt POR,DF,Barcelona,es La Liga,23,1993,16.6,0,3,2,66.7,0.18,0.12,0.00,0.00,22.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,d04b94db
2281,Rúben Semedo,pt POR,DFMF,Villarreal,es La Liga,23,1994,2.6,0,1,0,0.0,0.39,0.00,0.00,,14.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,c904f3d5
2282,Stefano Sensi,it ITA,MF,Sassuolo,it Serie A,21,1995,11.6,2,21,5,23.8,1.82,0.43,0.10,0.40,24.8,3,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches,b70bde8f
2283,Luigi Sepe,it ITA,GK,Napoli,it Serie A,26,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,343f753a
2284,Suat Serdar,de GER,MF,Mainz 05,de Bundesliga,20,1997,18.9,2,39,13,33.3,2.06,0.69,0.05,0.15,23.4,0,0,0,1.7,1.7,0.04,+0.3,+0.3,Matches,b3325a30
2285,Jean Seri,ci CIV,MF,Nice,fr Ligue 1,26,1991,29.1,2,35,11,31.4,1.20,0.38,0.06,0.18,26.1,4,0,0,1.9,1.9,0.05,+0.1,+0.1,Matches,10efd0e1
2286,Julien Serrano,fr FRA,DF,Monaco,fr Ligue 1,19,1998,3.1,0,1,0,0.0,0.32,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,7fb301af
2287,Grégory Sertic,fr FRA,DFMF,Marseille,fr Ligue 1,27,1989,3.9,0,6,1,16.7,1.54,0.26,0.00,0.00,11.8,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,c4527123
2288,Stéphane Sessègnon,bj BEN,MFFW,Montpellier,fr Ligue 1,33,1984,10.9,1,20,4,20.0,1.83,0.37,0.05,0.25,22.5,2,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,35c5f9b1
2289,Lee Seung-woo,kr KOR,MFFW,Hellas Verona,it Serie A,19,1998,4.0,1,11,3,27.3,2.77,0.75,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,0f22b650
2290,Stephan El Shaarawy,it ITA,FW,Roma,it Serie A,24,1992,23.9,7,73,23,31.5,3.05,0.96,0.10,0.30,16.3,0,0,0,8.9,8.9,0.12,-1.9,-1.9,Matches,d3aaad90
2291,Meritan Shabani,al ALB,FW,Bayern Munich,de Bundesliga,18,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,012c38ec
2292,Xherdan Shaqiri,ch SUI,MFFW,Stoke City,eng Premier League,25,1991,33.8,8,68,30,44.1,2.01,0.89,0.12,0.27,22.3,8,0,1,5.0,4.2,0.06,+3.0,+3.8,Matches,6421ec64
2293,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,22,1995,8.8,0,12,5,41.7,1.37,0.57,0.00,0.00,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,9c94165b
2294,Ryan Shawcross,eng ENG,DF,Stoke City,eng Premier League,29,1987,26.3,1,24,8,33.3,0.91,0.30,0.04,0.13,10.0,0,0,0,2.5,2.5,0.10,-1.5,-1.5,Matches,285a3d44
2295,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,25,1992,25.2,1,42,9,21.4,1.67,0.36,0.02,0.11,26.7,6,0,0,2.4,2.4,0.06,-1.4,-1.4,Matches,3727dd3c
2296,Gaku Shibasaki,jp JPN,MFFW,Getafe,es La Liga,25,1992,11.1,1,10,3,30.0,0.90,0.27,0.10,0.33,20.1,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches,d2ac648c
2297,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,25,1992,23.9,2,20,8,40.0,0.84,0.33,0.10,0.25,19.2,0,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches,4c5b714f
2298,Sidnei,br BRA,DF,La Coruña,es La Liga,27,1989,19.8,1,8,2,25.0,0.40,0.10,0.13,0.50,10.0,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches,b14d0c5d
2299,Jaime Sierra Mateos,es ESP,FWMF,Leganés,es La Liga,19,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,aaa4239e
2300,Vincent Sierro,ch SUI,MFFW,Freiburg,de Bundesliga,21,1995,2.4,0,4,0,0.0,1.69,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,92ffb8f9
2301,Gylfi Sigurðsson,is ISL,MFFW,Everton,eng Premier League,27,1989,25.1,4,39,12,30.8,1.55,0.48,0.10,0.33,20.3,3,0,0,3.0,3.0,0.08,+1.0,+1.0,Matches,76dd1480
2302,Kolbeinn Sigþórsson,is ISL,FW,Nantes,fr Ligue 1,27,1990,0.3,0,1,0,0.0,3.60,0.00,0.00,,12.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,adf825b9
2303,Adrien Silva,pt POR,MF,Leicester City,eng Premier League,28,1989,8.5,0,11,2,18.2,1.30,0.24,0.00,0.00,26.7,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,d6f88a1d
2304,André Silva,pt POR,FW,Milan,it Serie A,21,1995,10.4,2,35,10,28.6,3.35,0.96,0.06,0.20,12.8,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches,3effaa34
2305,Bernardo Silva,pt POR,FWMF,Manchester City,eng Premier League,22,1994,17.0,6,25,14,56.0,1.47,0.82,0.24,0.43,14.0,0,0,0,3.8,3.5,0.14,+2.2,+2.5,Matches,3eb22ec9
2306,David Silva,es ESP,MF,Manchester City,eng Premier League,31,1986,27.0,9,54,20,37.0,2.00,0.74,0.17,0.45,15.9,2,0,0,7.2,7.2,0.13,+1.8,+1.8,Matches,e2716bd0
2307,Gabriel Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,26,1991,23.1,1,11,3,27.3,0.48,0.13,0.09,0.33,21.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,4914ed4a
2308,Jonathan Silva,ar ARG,DF,Roma,it Serie A,23,1994,1.2,0,1,1,100.0,0.80,0.80,0.00,0.00,23.3,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,f2308b33
2309,Thiago Silva,br BRA,DF,Paris S-G,fr Ligue 1,32,1984,23.5,1,11,3,27.3,0.47,0.13,0.09,0.33,12.8,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,86e7deaf
2310,Matías Silvestre,ar ARG,DF,Sampdoria,it Serie A,32,1984,34.0,1,17,5,29.4,0.50,0.15,0.06,0.20,11.6,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches,b6ca47a2
2311,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,26,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d422df7
2312,Giovanni Simeone,ar ARG,FW,Fiorentina,it Serie A,22,1995,33.3,14,107,37,34.6,3.21,1.11,0.13,0.38,15.1,0,0,0,14.3,14.3,0.13,-0.3,-0.3,Matches,343c0d52
2313,Lorenco Šimić,hr CRO,DF,SPAL,it Serie A,21,1996,3.5,1,2,1,50.0,0.57,0.28,0.50,1.00,12.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches,65e4dede
2314,Stefan Simić,cz CZE,DF,Crotone,it Serie A,22,1995,6.2,0,2,1,50.0,0.32,0.16,0.00,0.00,10.2,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,b5365398
2315,David Simón,es ESP,DF,Las Palmas,es La Liga,28,1988,8.0,0,3,1,33.3,0.37,0.12,0.00,0.00,12.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,251336da
2316,Danny Simpson,eng ENG,DF,Leicester City,eng Premier League,30,1987,25.6,0,3,1,33.3,0.12,0.04,0.00,0.00,10.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,3201b03d
2317,Jack Simpson,eng ENG,DF,Bournemouth,eng Premier League,20,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,76fa5f80
2318,Josh Sims,eng ENG,FWMF,Southampton,eng Premier League,20,1997,1.8,0,11,5,45.5,6.07,2.76,0.00,0.00,17.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,6d6f09dc
2319,Jerome Sinclair,eng ENG,MFFW,Watford,eng Premier League,20,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1695c659
2320,Giovanni Sio,ci CIV,FW,Montpellier,fr Ligue 1,28,1989,24.4,10,82,39,47.6,3.37,1.60,0.12,0.26,15.9,2,0,1,12.4,11.6,0.14,-2.4,-1.6,Matches,0fe7f7bc
2321,Dimitris Siovas,gr GRE,DF,Leganés,es La Liga,28,1988,22.9,1,18,2,11.1,0.79,0.09,0.06,0.50,13.9,1,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches,92d38e6c
2322,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,29,1988,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d8a37c2
2323,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,30,1987,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,10dc46f0
2324,Moussa Sissoko,fr FRA,MFFW,Tottenham,eng Premier League,27,1989,15.4,1,19,7,36.8,1.23,0.45,0.05,0.14,15.8,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches,2acd49b9
2325,Pione Sisto,dk DEN,FWMF,Celta Vigo,es La Liga,22,1995,28.0,5,52,19,36.5,1.86,0.68,0.10,0.26,20.9,3,0,0,4.7,4.7,0.09,+0.3,+0.3,Matches,fd9c4805
2326,Antonio Sivera,es ESP,GK,Alavés,es La Liga,20,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9970da54
2327,Ellyes Skhiri,tn TUN,MF,Montpellier,fr Ligue 1,22,1995,33.9,4,39,10,25.6,1.15,0.30,0.10,0.40,24.7,0,0,0,2.3,2.3,0.06,+1.7,+1.7,Matches,c2211709
2328,Łukasz Skorupski,pl POL,GK,Roma,it Serie A,26,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab4449d6
2329,Milan Škriniar,sk SVK,DF,Inter,it Serie A,22,1995,38.0,4,21,10,47.6,0.55,0.26,0.19,0.40,12.3,0,0,0,3.2,3.2,0.15,+0.8,+0.8,Matches,30f5ffa9
2330,Islam Slimani,dz ALG,FW,Leicester City,eng Premier League,29,1988,2.8,1,7,4,57.1,2.53,1.45,0.14,0.25,13.7,0,0,0,1.5,1.5,0.22,-0.5,-0.5,Matches,ffec9769
2331,Islam Slimani,dz ALG,FW,Newcastle Utd,eng Premier League,29,1988,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ffec9769
2332,Naïm Sliti,tn TUN,FWMF,Dijon,fr Ligue 1,25,1992,25.4,7,56,23,41.1,2.20,0.90,0.09,0.22,22.4,8,2,2,5.8,4.2,0.08,+1.2,+0.8,Matches,2e0367a6
2333,Chris Smalling,eng ENG,DF,Manchester Utd,eng Premier League,27,1989,28.2,4,13,6,46.2,0.46,0.21,0.31,0.67,8.5,0,0,0,1.7,1.7,0.13,+2.3,+2.3,Matches,b6964eb6
2334,Adam Smith,eng ENG,DFMF,Bournemouth,eng Premier League,26,1991,23.0,1,13,3,23.1,0.56,0.13,0.08,0.33,21.3,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches,20b104bc
2335,Tommy Smith,eng ENG,DF,Huddersfield,eng Premier League,25,1992,21.2,0,8,2,25.0,0.38,0.09,0.00,0.00,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,e9208654
2336,Wesley Sneijder,nl NED,MFFW,Nice,fr Ligue 1,33,1984,4.4,0,16,5,31.3,3.61,1.13,0.00,0.00,26.7,1,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,ad625c12
2337,Cédric Soares,pt POR,DF,Southampton,eng Premier League,25,1991,31.0,0,23,4,17.4,0.74,0.13,0.00,0.00,24.9,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches,839c14e1
2338,Ramadan Sobhi,eg EGY,MFFW,Stoke City,eng Premier League,20,1997,13.8,2,13,6,46.2,0.95,0.44,0.15,0.33,18.3,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches,98be0d02
2339,Rubén Sobrino,es ESP,FWMF,Alavés,es La Liga,25,1992,16.3,3,25,13,52.0,1.53,0.80,0.12,0.23,14.7,0,0,0,4.3,4.3,0.17,-1.3,-1.3,Matches,19b776e9
2340,Dominic Solanke,eng ENG,FW,Liverpool,eng Premier League,19,1997,6.6,1,22,7,31.8,3.32,1.06,0.05,0.14,14.7,0,0,0,3.5,3.5,0.16,-2.5,-2.5,Matches,e77dc3b2
2341,Carlos Soler,es ESP,MF,Valencia,es La Liga,20,1997,26.3,1,45,17,37.8,1.71,0.65,0.02,0.06,21.0,0,0,0,4.2,4.2,0.09,-3.2,-3.2,Matches,fed17f5a
2342,Somália,br BRA,MFFW,Toulouse,fr Ligue 1,28,1988,22.2,1,26,7,26.9,1.17,0.31,0.04,0.14,21.4,0,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches,c1febb46
2343,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,28,1988,29.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,420c18a1
2344,Kévin Soni,cm CMR,MF,Girona,es La Liga,19,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6435143e
2345,Jérémy Sorbon,fr FRA,DF,Guingamp,fr Ligue 1,33,1983,29.0,0,4,1,25.0,0.14,0.03,0.00,0.00,8.6,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,7768df30
2346,Oliver Sorg,de GER,DFMF,Hannover 96,de Bundesliga,27,1990,18.7,0,7,0,0.0,0.37,0.00,0.00,,22.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,541cdd20
2347,David Soria,es ESP,GK,Sevilla,es La Liga,24,1993,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f8c6934
