,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
287,Daniel Bessa,it ITA,MFFW,Hellas Verona,it Serie A,24,1993,15.4,1,14,4,28.6,0.91,0.26,0.07,0.25,23.4,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,88895312
288,Daniel Bessa,it ITA,MF,Genoa,it Serie A,24,1993,4.9,2,4,2,50.0,0.82,0.41,0.50,1.00,5.8,0,0,0,1.8,1.8,0.45,+0.2,+0.2,Matches,88895312
289,Vincent Bessat,fr FRA,DFMF,Caen,fr Ligue 1,31,1985,17.4,0,17,5,29.4,0.97,0.29,0.00,0.00,25.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,5e6342d4
290,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,15285503
291,Matteo Bianchetti,it ITA,DF,Hellas Verona,it Serie A,24,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3a20f18
292,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,27,1990,6.1,0,2,2,100.0,0.33,0.33,0.00,0.00,17.1,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches,7aac47fe
293,Pedro Bigas,es ESP,DF,Las Palmas,es La Liga,26,1990,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,18.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,697295b1
294,Lucas Biglia,ar ARG,MF,Milan,it Serie A,31,1986,22.7,1,21,4,19.0,0.93,0.18,0.05,0.25,24.9,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,5710a281
295,Philip Billing,dk DEN,MF,Huddersfield,eng Premier League,21,1996,8.5,0,7,2,28.6,0.82,0.24,0.00,0.00,29.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,d328a254
296,Jean-Claude Billong,cm CMR,DF,Benevento,it Serie A,23,1993,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a3e1d20d
297,Davide Biondini,it ITA,MF,Sassuolo,it Serie A,34,1983,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4c3070a
298,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,24,1992,33.1,1,35,6,17.1,1.06,0.18,0.03,0.17,21.8,7,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches,9e1577aa
299,Mame Biram Diouf,sn SEN,FWDF,Stoke City,eng Premier League,29,1987,28.8,6,59,19,32.2,2.05,0.66,0.10,0.32,13.6,0,0,0,6.5,6.5,0.11,-0.5,-0.5,Matches,7f4f3e49
300,Davide Biraschi,it ITA,DF,Genoa,it Serie A,23,1994,20.0,0,4,0,0.0,0.20,0.00,0.00,,18.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches,64cd167d
301,Valter Birsa,si SVN,MFFW,Chievo,it Serie A,30,1986,27.8,3,48,17,35.4,1.73,0.61,0.06,0.18,23.7,5,0,0,2.3,2.3,0.05,+0.7,+0.7,Matches,455a2b79
302,Milan Biševac,rs SRB,DF,Metz,fr Ligue 1,33,1983,7.9,0,5,1,20.0,0.63,0.13,0.00,0.00,15.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,a51728e3
303,Yves Bissouma,ml MLI,MFDF,Lille,fr Ligue 1,20,1996,17.3,2,41,6,14.6,2.36,0.35,0.05,0.33,25.9,2,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches,6c203af0
304,Leonardo Bittencourt,de GER,MFFW,Köln,de Bundesliga,23,1993,17.9,5,32,10,31.3,1.79,0.56,0.16,0.50,16.7,0,0,0,3.2,3.2,0.10,+1.8,+1.8,Matches,dc62fbee
305,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,32b9b5fa
306,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,21.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,967f34d3
307,Ludovic Blas,fr FRA,MF,Guingamp,fr Ligue 1,19,1997,19.9,3,39,14,35.9,1.96,0.70,0.08,0.21,22.7,0,0,0,3.6,3.6,0.09,-0.6,-0.6,Matches,6191093d
308,Pablo de Blasis,ar ARG,FWMF,Mainz 05,de Bundesliga,29,1988,18.4,5,26,10,38.5,1.42,0.54,0.08,0.20,22.8,1,3,3,3.7,1.4,0.05,+1.3,+0.6,Matches,9ab48bde
309,Jérémy Blayac,fr FRA,FW,Strasbourg,fr Ligue 1,34,1983,10.2,3,33,9,27.3,3.24,0.88,0.09,0.33,13.1,0,0,0,4.7,4.7,0.14,-1.7,-1.7,Matches,d9afac11
310,Alexis Blin,fr FRA,MF,Toulouse,fr Ligue 1,20,1996,21.0,1,11,3,27.3,0.52,0.14,0.09,0.33,16.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches,c69ef855
311,Daley Blind,nl NED,DFMF,Manchester Utd,eng Premier League,27,1990,4.0,0,3,0,0.0,0.75,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,691bef82
312,Danny Blum,de GER,MFDF,Eint Frankfurt,de Bundesliga,26,1991,0.3,1,2,1,50.0,6.21,3.10,0.50,1.00,12.7,0,0,0,0.5,0.5,0.27,+0.5,+0.5,Matches,eb61713c
313,Emmanuel Boateng,gh GHA,FW,Levante,es La Liga,21,1996,14.2,6,42,15,35.7,2.96,1.06,0.14,0.40,13.7,0,0,0,7.1,7.1,0.17,-1.1,-1.1,Matches,2e23c66b
314,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,28,1988,18.2,1,13,3,23.1,0.71,0.16,0.08,0.33,18.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,2db2fd7b
