,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1538,Myziane Maolida,fr FRA,FWMF,Lyon,fr Ligue 1,18,1999,3.7,0,0,0,3,1,2,5,0,5,0,0,0,11,2,6,25.0,Matches,706a60e1
1539,Faitout Maouassa,fr FRA,MFFW,Rennes,fr Ligue 1,19,1998,9.9,1,0,0,12,14,1,33,6,3,0,0,0,34,6,13,31.6,Matches,e54a9890
1540,Fernando Marçal,br BRA,DF,Lyon,fr Ligue 1,28,1989,14.4,1,0,0,16,25,1,27,26,20,0,1,0,81,28,19,59.6,Matches,9ae9eaea
1541,Vincent Marcel,fr FRA,MFFW,Nice,fr Ligue 1,20,1997,0.5,0,0,0,1,1,1,0,0,1,0,0,0,2,2,0,100.0,Matches,51fa3fed
1542,Marcelo,br BRA,DF,Real Madrid,es La Liga,29,1988,25.1,3,1,0,26,41,3,155,30,37,0,0,0,159,9,26,25.7,Matches,603116a7
1543,Marcelo,br BRA,DF,Lyon,fr Ligue 1,30,1987,34.5,5,1,0,32,6,1,2,57,25,0,0,1,212,141,45,75.8,Matches,e3d0b0c4
1544,Solly March,eng ENG,MFFW,Brighton,eng Premier League,23,1994,20.6,3,0,0,29,22,7,102,13,41,1,0,0,135,19,42,31.1,Matches,bb5fbd2b
1545,Gabriele Marchegiani,it ITA,GK,SPAL,it Serie A,21,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,8cf63012
1546,Claudio Marchisio,it ITA,MF,Juventus,it Serie A,31,1986,9.1,1,0,0,8,3,0,4,4,10,0,0,0,55,2,1,66.7,Matches,e304acd5
1547,Gian Marco Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1992,29.4,4,0,0,20,12,0,1,31,8,0,2,0,113,49,31,61.3,Matches,8650af85
1548,Óscar de Marcos,es ESP,DFFW,Athletic Club,es La Liga,28,1989,18.4,5,0,0,17,10,4,58,19,21,1,0,0,86,21,17,55.3,Matches,9f323c71
1549,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,22,1995,18.8,6,0,0,15,18,2,2,30,27,0,0,0,107,57,28,67.1,Matches,f0da930c
1550,Mariano,do DOM,FW,Lyon,fr Ligue 1,23,1993,27.9,6,0,0,34,11,23,6,3,11,1,0,0,49,43,72,37.4,Matches,5c4dc0ff
1551,Adrian Mariappa,jm JAM,DF,Watford,eng Premier League,30,1986,24.6,4,0,0,32,16,0,4,45,26,0,0,0,111,86,72,54.4,Matches,8aa5f52c
1552,Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,25,1991,20.9,5,0,0,26,15,1,11,40,38,0,1,0,147,13,24,35.1,Matches,0d2158d5
1553,Adrián Marín,es ESP,DF,Villarreal,es La Liga,20,1997,2.6,1,0,0,6,0,0,2,3,4,0,0,0,9,2,1,66.7,Matches,b7f2edff
1554,João Mário,pt POR,MF,West Ham,eng Premier League,24,1993,11.4,0,0,0,14,20,0,50,8,11,0,0,0,76,7,27,20.6,Matches,f0021247
1555,João Mário,pt POR,MFFW,Inter,it Serie A,24,1993,6.2,0,0,0,6,12,2,30,4,4,1,0,0,43,3,11,21.4,Matches,f0021247
1556,Guillermo Maripán,cl CHI,DF,Alavés,es La Liga,23,1994,17.0,4,0,0,15,4,0,0,36,16,0,0,0,69,29,25,53.7,Matches,d9764034
1557,Marlon,br BRA,DF,Nice,fr Ligue 1,21,1995,21.4,5,1,1,20,11,0,2,15,26,0,1,1,93,37,23,61.7,Matches,cdf65d12
1558,Dominic Maroh,si SVN,DF,Köln,de Bundesliga,30,1987,10.2,0,0,0,5,11,1,0,21,15,0,0,0,37,31,16,66.0,Matches,3f30b506
1559,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,23,1994,25.1,1,0,0,8,8,0,1,14,14,0,0,0,137,42,20,67.7,Matches,d5f2f82b
1560,Bruno Martella,it ITA,DF,Crotone,it Serie A,24,1992,29.1,3,0,0,7,7,1,117,48,21,0,0,0,170,46,40,53.5,Matches,1e12c53b
1561,Roger Martí,es ESP,FW,Levante,es La Liga,26,1991,10.7,4,0,0,17,14,5,6,1,4,0,0,0,34,9,22,29.0,Matches,0ae4e09a
1562,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,21,1995,17.6,1,0,0,17,27,8,48,3,13,0,0,0,79,14,24,36.8,Matches,8b788c01
1563,Aarón Martín,es ESP,DF,Espanyol,es La Liga,20,1997,31.3,6,0,0,29,20,0,148,49,36,0,0,0,151,18,41,30.5,Matches,2f3e911a
1564,Jonas Martin,fr FRA,MF,Strasbourg,fr Ligue 1,27,1990,33.6,6,0,0,55,40,3,50,33,50,1,0,0,216,46,64,41.8,Matches,468fdbad
1565,Cuco Martina,cw CUW,DF,Everton,eng Premier League,27,1989,20.3,2,0,0,26,9,2,45,42,35,0,0,0,117,22,35,38.6,Matches,22551915
1566,Carlos Martínez,es ESP,DF,Real Sociedad,es La Liga,31,1986,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches,d9b0cc38
1567,Emiliano Martínez,ar ARG,GK,Getafe,es La Liga,24,1992,5.0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,50.0,Matches,7956236f
1568,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,26,1991,16.0,6,0,0,20,18,0,6,30,20,0,0,0,104,40,32,55.6,Matches,3fc45c73
1569,Iñigo Martínez,es ESP,DF,Real Sociedad,es La Liga,26,1991,11.7,0,0,0,10,17,3,13,23,9,0,1,0,83,29,21,58.0,Matches,3fc45c73
1570,Javi Martínez,es ESP,MFDF,Bayern Munich,de Bundesliga,28,1988,17.9,1,0,0,16,18,0,7,33,22,0,0,0,70,57,30,65.5,Matches,7f97771d
1571,Pablo Martinez,fr FRA,DF,Strasbourg,fr Ligue 1,28,1989,23.5,4,0,0,23,28,1,13,51,34,0,2,0,104,54,37,59.3,Matches,1ad8cb67
1572,Roger Martínez,co COL,FW,Villarreal,es La Liga,23,1994,2.6,1,0,0,6,10,1,2,0,1,0,0,0,7,5,5,50.0,Matches,6f0d613a
1573,Christopher Martins,lu LUX,MF,Lyon,fr Ligue 1,20,1997,0.8,1,0,0,2,0,0,0,1,2,0,0,0,4,3,1,75.0,Matches,0e96a5e1
1574,Bruno Martins Indi,nl NED,DF,Stoke City,eng Premier League,25,1992,13.8,3,0,0,12,6,1,4,21,12,0,1,0,55,25,21,54.3,Matches,7bc34048
1575,Jonathan Martins Pereira,fr FRA,DF,Guingamp,fr Ligue 1,31,1986,12.6,2,0,0,16,17,0,35,37,18,0,0,0,78,20,7,74.1,Matches,b51242ef
1576,Adam Marušić,me MNE,DF,Lazio,it Serie A,24,1992,28.0,3,1,0,28,15,6,98,31,21,1,0,0,134,27,16,62.8,Matches,d4535821
1577,Omar Mascarell,es ESP,MF,Eint Frankfurt,de Bundesliga,24,1993,8.6,4,0,0,17,8,0,4,21,16,0,0,0,76,17,12,58.6,Matches,11fd2b75
1578,Javier Mascherano,ar ARG,DF,Barcelona,es La Liga,33,1984,6.0,0,0,0,9,1,0,0,8,13,0,0,0,38,0,4,0.0,Matches,5070881b
1579,Andrea Masiello,it ITA,DF,Atalanta,it Serie A,31,1986,30.1,5,0,0,19,11,5,5,72,38,0,0,0,236,37,18,67.3,Matches,e0314d87
1580,Adam Masina,ma MAR,DF,Bologna,it Serie A,23,1994,31.4,8,1,0,56,23,5,46,51,57,0,2,0,163,115,48,70.6,Matches,de0f152c
1581,Eden Massouema,cg CGO,MFFW,Dijon,fr Ligue 1,20,1997,2.1,1,0,0,6,2,0,0,5,1,0,0,0,6,4,2,66.7,Matches,639b42f5
1582,Arthur Masuaku,cd COD,DF,West Ham,eng Premier League,23,1993,20.8,5,0,0,30,30,2,100,26,37,0,0,0,143,23,19,54.8,Matches,57df7a11
1583,Juan Mata,es ESP,FW,Manchester Utd,eng Premier League,29,1988,21.4,1,0,0,12,20,18,111,15,13,0,0,0,109,3,8,27.3,Matches,29733c72
1584,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,25,1992,24.0,2,0,0,1,2,0,0,0,0,0,0,0,23,1,0,100.0,Matches,4a15e95b
1585,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,28,1988,34.6,6,0,0,33,22,2,18,64,42,0,0,0,317,56,27,67.5,Matches,eb7822d7
1586,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,25,1991,22.2,3,0,0,19,10,1,0,35,24,0,0,0,123,56,21,72.7,Matches,b217ef29
1587,Ryder Matos,br BRA,MF,Udinese,it Serie A,24,1993,1.9,0,0,0,2,3,0,3,2,1,0,0,0,8,1,3,25.0,Matches,7280b54f
1588,Ryder Matos,br BRA,FWMF,Hellas Verona,it Serie A,24,1993,10.9,1,0,0,10,31,9,19,3,15,0,0,0,46,10,32,23.8,Matches,7280b54f
1589,Alessandro Matri,it ITA,FW,Sassuolo,it Serie A,32,1984,10.2,1,0,0,7,17,13,6,0,1,3,0,0,28,12,23,34.3,Matches,58d97e77
1590,Ville Matti Steinmann,de GER,MF,Hamburger SV,de Bundesliga,22,1995,6.6,2,0,0,14,10,0,0,18,10,0,0,0,41,17,15,53.1,Matches,ee57792b
1591,Federico Mattiello,it ITA,DF,SPAL,it Serie A,22,1995,24.5,7,2,1,43,42,1,54,64,40,0,0,0,121,19,22,46.3,Matches,fba81826
1592,Blaise Matuidi,fr FRA,MF,Juventus,it Serie A,30,1987,26.2,3,0,0,48,24,4,23,32,35,0,0,0,106,33,40,45.2,Matches,c0cddebe
1593,Blaise Matuidi,fr FRA,MF,Paris S-G,fr Ligue 1,30,1987,0.3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,100.0,Matches,c0cddebe
1594,José Mauri,it ITA,MF,Milan,it Serie A,21,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,644faf10
1595,Maurício,br BRA,DF,Lazio,it Serie A,28,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,d5bd1abc
1596,Mërgim Mavraj,al ALB,DF,Hamburger SV,de Bundesliga,31,1986,16.1,3,1,1,20,10,0,4,21,32,0,0,0,76,62,45,57.9,Matches,0eb5720b
1597,Konstantinos Mavropanos,gr GRE,DF,Arsenal,eng Premier League,19,1997,2.2,0,1,0,2,3,0,0,6,1,0,0,0,14,3,6,33.3,Matches,00963611
1598,Alfie Mawson,eng ENG,DF,Swansea City,eng Premier League,23,1994,38.0,3,0,0,19,11,1,2,35,22,0,0,0,220,120,70,63.2,Matches,d368feb8
1599,Philipp Max,de GER,DF,Augsburg,de Bundesliga,23,1993,32.9,5,0,0,28,16,3,318,33,47,0,0,0,165,25,35,41.7,Matches,826e8b63
1600,Alexandru Maxim,ro ROU,MF,Mainz 05,de Bundesliga,27,1990,10.6,4,0,0,19,16,1,76,6,12,0,0,0,59,1,22,4.3,Matches,61fc9685
1601,Eric Maxim Choupo-Moting,cm CMR,FWMF,Stoke City,eng Premier League,28,1989,25.7,3,0,0,21,24,14,35,23,30,0,0,0,133,60,73,45.1,Matches,0e6bc38c
1602,Florian Mayer,de GER,DF,M'Gladbach,de Bundesliga,19,1998,0.2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,50.0,Matches,45870256
1603,Borja Mayoral,es ESP,FWMF,Real Madrid,es La Liga,20,1997,3.8,0,0,0,4,5,7,0,0,3,0,0,0,15,4,2,66.7,Matches,64e8ed6d
1604,Róbert Mazáň,sk SVK,DF,Celta Vigo,es La Liga,23,1994,0.9,0,0,0,2,0,0,3,2,0,0,0,0,5,1,0,100.0,Matches,30672832
1605,Luca Mazzitelli,it ITA,MF,Sassuolo,it Serie A,21,1995,11.3,4,0,0,36,19,0,16,21,24,0,1,0,74,18,32,36.0,Matches,dc61b402
1606,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,18,1998,23.3,2,0,0,10,37,23,40,0,8,1,0,0,64,6,12,33.3,Matches,42fd9c7f
1607,Kylian Mbappé,fr FRA,FWMF,Monaco,fr Ligue 1,18,1998,0.8,0,0,0,0,1,2,2,1,1,0,0,0,4,0,0,,Matches,42fd9c7f
1608,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,22,1994,19.6,4,2,1,27,33,2,16,28,34,0,1,1,110,40,23,63.5,Matches,cfbf9881
1609,Chancel Mbemba,cd COD,DF,Newcastle Utd,eng Premier League,22,1994,7.5,0,0,0,5,4,0,7,15,12,0,0,0,34,19,17,52.8,Matches,e76cb9cc
1610,Adama Mbengue,sn SEN,DF,Caen,fr Ligue 1,23,1993,17.7,2,1,0,38,24,0,89,28,48,0,0,0,152,18,16,52.9,Matches,b931d9d1
1611,Isaac Mbenza,be BEL,FWMF,Montpellier,fr Ligue 1,21,1996,23.3,4,0,0,12,19,13,122,4,11,0,0,0,69,7,11,38.9,Matches,aa1a8c7e
1612,Bryan Mbeumo,cm CMR,FWMF,Troyes,fr Ligue 1,17,1999,0.7,0,0,0,1,4,0,2,0,0,0,0,0,6,3,5,37.5,Matches,6afaebf2
1613,Jordi Mboula,es ESP,MF,Monaco,fr Ligue 1,18,1999,0.3,0,0,0,1,2,0,5,0,0,0,0,0,1,1,1,50.0,Matches,4887118d
1614,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,29,1987,27.0,5,0,0,45,28,0,11,36,44,0,0,0,177,38,50,43.2,Matches,cee31595
1615,Gareth McAuley,nir NIR,DF,West Brom,eng Premier League,37,1979,5.1,0,0,0,2,2,0,1,11,7,0,0,0,26,15,10,60.0,Matches,ac7d7378
1616,Oliver McBurnie,sct SCO,FWMF,Swansea City,eng Premier League,21,1996,3.1,0,0,0,4,4,0,3,0,3,0,0,0,10,22,20,52.4,Matches,78b8ac63
1617,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,27,1989,18.0,2,0,0,0,1,0,0,1,0,0,0,0,15,10,0,100.0,Matches,36c2ca73
1618,James McCarthy,ie IRL,MF,Everton,eng Premier League,26,1990,2.3,0,0,0,3,2,0,2,5,9,0,0,0,20,4,4,50.0,Matches,64b08de7
1619,James McClean,ie IRL,MFFW,West Brom,eng Premier League,28,1989,15.6,7,0,0,35,12,5,88,20,28,0,0,1,91,15,22,40.5,Matches,53538b39
1620,Weston McKennie,us USA,MF,Schalke 04,de Bundesliga,18,1998,14.0,3,0,0,37,9,0,3,20,23,0,0,0,92,26,21,55.3,Matches,01c3aff5
1621,Sam McQueen,eng ENG,DFMF,Southampton,eng Premier League,22,1995,1.6,0,0,0,0,0,1,4,3,4,0,0,0,10,0,1,0.0,Matches,b27b49b4
1622,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,20,1996,7.0,2,0,0,7,16,0,4,13,9,0,0,0,44,11,10,52.4,Matches,d93c2511
1623,Iuri Medeiros,pt POR,FWMF,Genoa,it Serie A,23,1994,7.1,1,0,0,3,10,4,34,2,4,0,0,0,29,4,10,28.6,Matches,97e2aa67
1624,Slobodan Medojević,rs SRB,MF,Eint Frankfurt,de Bundesliga,26,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,2e64bb49
1625,Álvaro Medrán,es ESP,MF,Alavés,es La Liga,23,1994,10.5,2,0,0,20,13,2,11,13,14,0,0,0,66,6,9,40.0,Matches,31223bcf
1626,Álvaro Medrán,es ESP,MF,Valencia,es La Liga,23,1994,0.8,0,0,0,3,1,0,0,3,1,0,0,0,5,0,0,,Matches,31223bcf
1627,Ben Mee,eng ENG,DF,Burnley,eng Premier League,27,1989,29.0,5,0,0,14,29,3,3,33,20,0,0,0,153,113,78,59.2,Matches,8df7a2fb
1628,Riccardo Meggiorini,it ITA,FW,Chievo,it Serie A,31,1985,8.7,2,0,0,17,26,14,12,2,6,0,0,0,24,32,39,45.1,Matches,2ec0f902
1629,Admir Mehmedi,ch SUI,FWMF,Wolfsburg,de Bundesliga,26,1991,3.2,0,0,0,4,3,3,9,1,2,0,0,0,6,8,5,61.5,Matches,b500b384
1630,Admir Mehmedi,ch SUI,DFMF,Leverkusen,de Bundesliga,26,1991,7.8,3,0,0,21,20,1,37,13,18,0,1,0,36,14,11,56.0,Matches,b500b384
1631,Alexander Meier,de GER,FW,Eint Frankfurt,de Bundesliga,34,1983,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,362aa29d
1632,Soualiho Meïté,fr FRA,MF,Bordeaux,fr Ligue 1,23,1994,14.8,0,0,0,20,22,0,10,23,13,0,1,0,127,29,17,63.0,Matches,5cec2c74
1633,Soualiho Meïté,fr FRA,MF,Monaco,fr Ligue 1,23,1994,1.1,0,0,0,2,2,0,0,3,1,0,0,0,5,0,2,0.0,Matches,5cec2c74
1634,Óscar Melendo,es ESP,MFFW,Espanyol,es La Liga,19,1997,7.6,1,0,0,6,21,0,7,3,2,0,0,0,38,3,10,23.1,Matches,379652be
1635,Ledian Memushaj,al ALB,MF,Benevento,it Serie A,30,1986,14.0,3,0,0,19,25,0,29,10,18,0,0,0,96,7,5,58.3,Matches,8011fcf6
1636,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,26,1990,31.7,11,0,0,41,52,0,11,44,50,0,2,0,192,57,41,58.2,Matches,6690ef25
1637,Thiago Mendes,br BRA,MF,Lille,fr Ligue 1,25,1992,25.5,4,1,1,38,45,3,31,25,16,0,0,0,168,21,14,60.0,Matches,c6e5d20f
1638,Brais Méndez,es ESP,MFFW,Celta Vigo,es La Liga,20,1997,10.5,0,0,0,17,14,3,24,4,15,0,0,0,60,7,19,26.9,Matches,c9e39d91
1639,Stiven Mendoza,co COL,FWMF,Amiens,fr Ligue 1,25,1992,11.5,0,0,0,9,8,0,33,15,10,0,0,0,68,6,18,25.0,Matches,e68f2cb4
1640,Alexandre Mendy,gw GNB,FW,Bordeaux,fr Ligue 1,23,1994,8.8,2,0,0,17,7,14,2,1,4,0,0,0,28,34,50,40.5,Matches,e067808c
1641,Benjamin Mendy,fr FRA,DFFW,Manchester City,eng Premier League,23,1994,4.0,2,0,0,6,1,0,39,8,4,0,0,0,21,5,4,55.6,Matches,5271c8f1
1642,Ferland Mendy,fr FRA,DF,Lyon,fr Ligue 1,22,1995,23.6,4,0,0,30,46,0,58,25,28,1,3,0,149,37,25,59.7,Matches,3cefcaef
1643,Nampalys Mendy,sn SEN,MF,Nice,fr Ligue 1,25,1992,10.7,2,0,0,17,15,0,2,13,6,0,0,0,53,3,3,50.0,Matches,1598599e
1644,Hamza Mendyl,ma MAR,DFMF,Lille,fr Ligue 1,19,1997,9.5,2,1,0,11,3,0,33,17,10,0,1,0,45,6,9,40.0,Matches,f99fe221
1645,Gabriel Mercado,ar ARG,DF,Sevilla,es La Liga,30,1987,23.5,9,0,0,36,16,6,23,42,37,1,1,0,118,39,32,54.9,Matches,bf97c188
1646,Jorge Meré,es ESP,DF,Köln,de Bundesliga,20,1997,21.0,6,0,0,16,14,1,3,34,23,0,0,0,100,44,35,55.7,Matches,9f979eb2
1647,Alex Meret,it ITA,GK,SPAL,it Serie A,20,1997,12.9,0,0,0,1,0,0,0,0,0,0,1,0,21,3,1,75.0,Matches,9413b19f
1648,Mikel Merino,es ESP,MF,Newcastle Utd,eng Premier League,21,1996,15.0,4,0,0,30,29,0,3,34,40,0,0,0,139,38,39,49.4,Matches,d080ed5e
1649,Sabin Merino,es ESP,FWMF,Athletic Club,es La Liga,25,1992,4.2,1,0,0,7,6,2,4,1,3,1,0,0,25,12,13,48.0,Matches,1d5f96d9
1650,Dries Mertens,be BEL,FW,Napoli,it Serie A,30,1987,33.4,4,0,0,38,42,13,30,5,22,2,0,0,67,3,24,11.1,Matches,89b2c8a9
1651,Per Mertesacker,de GER,DF,Arsenal,eng Premier League,32,1984,4.1,0,0,0,2,4,0,0,6,2,0,0,0,32,22,6,78.6,Matches,5be28712
1652,Roque Mesa,es ESP,MF,Swansea City,eng Premier League,28,1989,8.4,3,0,0,14,10,0,1,13,13,0,1,0,86,1,3,25.0,Matches,7c4243d4
1653,Roque Mesa,es ESP,MF,Sevilla,es La Liga,28,1989,3.8,2,0,0,10,6,0,1,0,10,0,0,0,21,1,3,25.0,Matches,7c4243d4
1654,Lionel Messi,ar ARG,FW,Barcelona,es La Liga,30,1987,33.3,3,0,0,17,80,13,52,7,8,0,0,0,86,8,11,42.1,Matches,d70ce98e
1655,Thomas Meunier,be BEL,DF,Paris S-G,fr Ligue 1,25,1991,17.5,3,0,0,29,5,2,75,18,21,0,1,0,93,23,11,67.6,Matches,e162b013
1656,Mexer,mz MOZ,DF,Rennes,fr Ligue 1,28,1988,13.3,1,0,0,6,9,0,2,16,12,0,3,0,82,42,27,60.9,Matches,ce492295
1657,Max Meyer,de GER,MF,Schalke 04,de Bundesliga,21,1995,19.2,6,0,0,25,22,0,2,54,38,0,0,0,149,14,18,43.8,Matches,eba42d2b
1658,Senna Miangue,be BEL,DFFW,Cagliari,it Serie A,20,1997,8.9,2,2,1,16,3,2,44,7,5,0,0,0,32,13,7,65.0,Matches,42591ed0
1659,Michel,br BRA,DF,Las Palmas,es La Liga,27,1990,23.7,5,1,1,38,43,6,64,39,24,0,0,0,124,32,28,53.3,Matches,05384ea1
1660,Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,25,1991,6.6,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,Matches,e39f8724
1661,Clément Michelin,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,3.1,2,0,0,8,2,0,11,4,7,0,0,0,13,8,9,47.1,Matches,cb9ec45d
1662,Francesco Migliore,it ITA,DF,Genoa,it Serie A,29,1988,3.7,1,0,0,7,1,0,9,3,5,0,0,0,27,4,7,36.4,Matches,1a584cb2
1663,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,29,1988,19.0,3,0,0,2,2,0,0,0,1,0,1,0,47,4,0,100.0,Matches,d436eb94
1664,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,19,1997,13.9,1,2,1,24,7,0,2,23,25,0,0,0,45,39,14,73.6,Matches,bee704fc
1665,Danijel Milićević,ba BIH,MFFW,Metz,fr Ligue 1,31,1986,7.9,0,0,0,5,10,0,63,3,4,1,0,0,35,7,13,35.0,Matches,1251f42e
1666,Arkadiusz Milik,pl POL,FWMF,Napoli,it Serie A,23,1994,5.0,2,0,0,8,7,1,2,1,1,0,0,0,11,4,17,19.0,Matches,85613cf0
1667,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,22,1995,31.6,8,0,0,58,52,9,38,33,39,2,0,0,218,95,76,55.6,Matches,4e6dbac4
1668,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,20,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,9fa26bc2
1669,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,26,1991,34.2,8,0,0,69,33,1,39,71,52,0,0,0,274,48,43,52.7,Matches,2ce2508a
1670,James Milner,eng ENG,MF,Liverpool,eng Premier League,31,1986,19.7,3,0,0,29,22,0,123,21,45,0,0,0,125,23,18,56.1,Matches,2f90f6b8
1671,Santi Mina,es ESP,FW,Valencia,es La Liga,21,1995,17.3,4,0,0,24,36,11,6,2,9,1,0,0,50,35,54,39.3,Matches,0b90bb97
1672,Yerry Mina,co COL,DF,Barcelona,es La Liga,22,1994,4.1,2,0,0,6,6,1,0,6,8,0,0,0,13,10,5,66.7,Matches,6d5701f2
1673,Tyrone Mings,eng ENG,DF,Bournemouth,eng Premier League,24,1993,2.2,1,0,0,2,1,0,1,6,1,0,0,0,14,2,2,50.0,Matches,8397a50c
1674,Ignasi Miquel,es ESP,DF,Málaga,es La Liga,24,1992,19.7,5,1,0,41,14,0,2,33,10,0,1,0,87,44,42,51.2,Matches,174f09a6
1675,Kevin Mirallas,be BEL,FWMF,Everton,eng Premier League,29,1987,1.5,1,0,0,1,2,0,4,0,3,0,0,0,6,2,2,50.0,Matches,aa51343f
1676,Miranda,br BRA,DF,Inter,it Serie A,32,1984,30.3,8,0,0,24,25,0,4,38,37,0,0,0,213,58,42,58.0,Matches,314f2124
1677,Antonio Mirante,it ITA,GK,Bologna,it Serie A,34,1983,33.0,5,0,0,1,1,0,0,0,0,0,0,1,73,11,1,91.7,Matches,30223b33
1678,Simone Missiroli,it ITA,MF,Sassuolo,it Serie A,31,1986,32.4,4,0,0,34,46,3,20,67,37,0,0,0,194,129,84,60.6,Matches,331c0a43
1679,Kostas Mitroglou,gr GRE,FW,Marseille,fr Ligue 1,29,1988,9.7,2,0,0,11,3,6,1,0,2,0,0,0,13,22,13,62.9,Matches,c6ac6579
1680,Aleksandar Mitrović,rs SRB,FW,Newcastle Utd,eng Premier League,22,1994,1.1,0,0,0,3,5,1,0,0,1,0,0,0,4,6,9,40.0,Matches,3925dbd6
1681,Maximilian Mittelstädt,de GER,MFDF,Hertha BSC,de Bundesliga,20,1997,4.7,0,0,0,5,11,0,14,9,11,0,0,0,17,10,4,71.4,Matches,88d4144a
1682,Henrikh Mkhitaryan,am ARM,FWMF,Arsenal,eng Premier League,28,1989,8.8,0,0,0,12,17,2,32,8,13,1,1,0,47,9,14,39.1,Matches,dd0daf32
1683,Henrikh Mkhitaryan,am ARM,MFFW,Manchester Utd,eng Premier League,28,1989,10.2,2,0,0,11,12,2,52,7,11,0,0,0,57,8,8,50.0,Matches,dd0daf32
1684,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,31,1985,21.9,3,0,0,20,31,0,18,31,22,1,0,0,149,7,12,36.8,Matches,6025fab1
1685,Niklas Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,31,1985,25.0,6,0,0,34,16,0,7,38,28,0,2,1,128,40,30,57.1,Matches,00844823
1686,Johan Mojica,co COL,DF,Girona,es La Liga,24,1992,23.7,6,0,0,38,47,6,147,32,27,0,0,0,161,26,34,43.3,Matches,608f2092
1687,Jorge Molina,es ESP,FW,Getafe,es La Liga,35,1982,31.0,10,0,0,54,61,39,17,7,10,6,0,0,88,97,151,39.1,Matches,43f71e77
1688,Daniel Molina Orta,es ESP,MF,Celta Vigo,es La Liga,21,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,102fda08
1689,Cristian Molinaro,it ITA,DF,Torino,it Serie A,34,1983,17.4,2,0,0,25,19,2,33,22,29,0,2,0,129,23,7,76.7,Matches,1c8c5aed
1690,Francisco Molinero,es ESP,DF,Getafe,es La Liga,32,1985,6.4,5,0,0,21,6,0,11,14,10,0,1,0,32,6,5,54.5,Matches,2cea96ce
1691,Florent Mollet,fr FRA,MFFW,Metz,fr Ligue 1,25,1991,15.7,5,0,0,33,26,3,71,11,18,0,0,0,86,5,19,20.8,Matches,7e82a78f
1692,Momo,es ESP,FWMF,Las Palmas,es La Liga,35,1982,7.5,3,0,0,5,21,3,34,5,8,0,0,0,44,4,8,33.3,Matches,9857e65d
1693,Thomas Monconduit,fr FRA,MF,Amiens,fr Ligue 1,26,1991,32.8,7,1,0,64,46,2,14,55,49,1,0,0,198,50,31,61.7,Matches,84d94b91
1694,Kévin Monnet-Paquet,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,28,1988,19.6,0,0,0,33,14,5,29,13,25,0,0,0,97,34,70,32.7,Matches,4a57580c
1695,Nacho Monreal,es ESP,DF,Arsenal,eng Premier League,31,1986,24.9,3,0,0,19,17,2,31,56,32,0,1,0,155,62,62,50.0,Matches,d4cb83cc
