,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
2167,Antonio Rukavina,rs SRB,DF,Villarreal,es La Liga,33,1984,14.1,628,483,143,8,1,0,27,135,0,0,0,0,489,2,12,Matches,e12d7851
2168,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,25,1992,26.0,1115,882,228,77,0,4,0,0,0,0,0,0,847,5,0,Matches,625c144a
2169,Lukas Rupp,de GER,MFFW,Hoffenheim,de Bundesliga,26,1991,12.9,476,455,18,4,0,1,17,12,2,0,2,0,360,3,17,Matches,3faa1780
2170,Marco Russ,de GER,DF,Eint Frankfurt,de Bundesliga,31,1985,12.7,593,569,23,23,0,3,0,0,0,0,0,0,479,1,9,Matches,e26c4233
2171,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,25,1992,38.0,1186,716,459,107,0,0,0,0,0,0,0,0,625,11,1,Matches,4535e4bb
2172,Idriss Saadi,dz ALG,FW,Strasbourg,fr Ligue 1,25,1992,10.5,211,182,29,0,1,0,19,0,1,0,1,0,136,0,11,Matches,17f29fb0
2173,Youssouf Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,24,1993,34.4,2104,1661,437,34,3,7,137,403,0,0,0,0,1661,6,85,Matches,fbbb9269
2174,Abdelhamid Sabiri,ma MAR,MF,Huddersfield,eng Premier League,20,1996,2.4,100,95,4,1,0,0,1,0,0,0,0,0,66,1,1,Matches,4830e0af
2175,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,23,1994,19.9,946,842,98,26,4,3,65,58,13,3,6,1,674,6,23,Matches,e280527c
2176,Enric Saborit,es ESP,DF,Athletic Club,es La Liga,25,1992,15.9,707,553,151,10,0,4,36,141,0,0,0,0,524,3,18,Matches,eb5bc3eb
2177,Ihsan Sacko,fr FRA,FWMF,Nice,fr Ligue 1,20,1997,2.9,87,85,1,1,1,0,1,0,0,0,0,0,67,1,5,Matches,68a87d66
2178,Ihsan Sacko,fr FRA,FWMF,Strasbourg,fr Ligue 1,20,1997,7.9,199,189,8,0,1,1,6,3,0,0,0,0,140,2,8,Matches,68a87d66
2179,Mujaid Sadick,es ESP,DF,La Coruña,es La Liga,17,2000,1.2,41,40,1,1,0,0,1,0,0,0,0,0,38,0,0,Matches,21164a21
2180,Armando Sadiku,al ALB,FW,Levante,es La Liga,26,1991,3.0,71,65,5,0,0,1,1,0,0,0,0,0,53,1,0,Matches,8b6d1830
2181,Umar Sadiq,ng NGA,FW,Torino,it Serie A,20,1997,2.5,51,49,2,0,0,0,0,0,0,0,0,0,25,0,5,Matches,686cbe7d
2182,Bacary Sagna,fr FRA,DF,Benevento,it Serie A,34,1983,10.6,783,688,94,18,0,3,26,75,1,0,1,0,690,1,8,Matches,6ef56efd
2183,Adrián Sahibeddine,fr FRA,FWMF,Dijon,fr Ligue 1,22,1994,0.4,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,22c77851
2184,Nuri Şahin,tr TUR,MF,Dortmund,de Bundesliga,28,1988,13.6,1106,1044,58,49,2,2,24,3,6,6,0,0,922,4,9,Matches,f4081572
2185,Wesley Saïd,fr FRA,FWMF,Dijon,fr Ligue 1,22,1995,20.4,506,466,36,3,4,0,19,6,2,1,0,0,376,4,9,Matches,90fcf472
2186,Allan Saint-Maximin,fr FRA,FWMF,Nice,fr Ligue 1,20,1997,25.0,918,900,9,0,1,22,70,7,2,0,2,0,674,9,38,Matches,2b16cb1a
2187,Allan Saint-Maximin,fr FRA,MF,Monaco,fr Ligue 1,20,1997,0.2,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches,2b16cb1a
2188,Henri Saivet,sn SEN,MF,Newcastle Utd,eng Premier League,26,1990,0.9,26,24,2,0,0,0,2,0,2,2,0,0,15,0,1,Matches,f3709655
2189,Gōtoku Sakai,jp JPN,DFMF,Hamburger SV,de Bundesliga,26,1991,25.4,1368,1167,199,22,0,18,40,174,3,1,0,0,1036,2,45,Matches,c8e25f78
2190,Hiroki Sakai,jp JPN,DF,Marseille,fr Ligue 1,27,1990,28.0,1560,1258,300,12,2,1,46,288,0,0,0,0,1248,2,42,Matches,d63e2912
2191,Diafra Sakho,sn SEN,FW,West Ham,eng Premier League,27,1989,3.4,73,61,10,0,0,0,3,4,1,0,0,0,44,2,3,Matches,57c433c8
2192,Diafra Sakho,sn SEN,FW,Rennes,fr Ligue 1,27,1989,8.6,144,133,9,0,2,0,4,1,0,0,0,0,93,2,8,Matches,57c433c8
2193,Mamadou Sakho,fr FRA,DF,Crystal Palace,eng Premier League,27,1990,17.8,744,720,20,19,1,3,0,1,0,0,0,0,632,4,4,Matches,87935cf3
2194,Bakary Sako,ml MLI,FWMF,Crystal Palace,eng Premier League,29,1988,5.3,159,150,9,3,0,2,27,1,4,0,2,1,94,0,9,Matches,381d7d54
2195,Emiliano Sala,ar ARG,FW,Nantes,fr Ligue 1,26,1990,33.7,846,812,23,0,5,1,9,0,0,0,0,0,519,11,35,Matches,5d59e0df
2196,Jacopo Sala,it ITA,DF,Sampdoria,it Serie A,25,1991,11.0,749,651,98,14,0,4,24,84,0,0,0,0,632,0,19,Matches,da5a981b
2197,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,25,1992,32.3,1055,955,96,12,8,4,86,19,62,43,9,0,772,4,32,Matches,e342ad68
2198,Bartosz Salamon,pl POL,DF,SPAL,it Serie A,26,1991,19.2,867,819,44,42,1,21,11,2,0,0,0,0,699,4,8,Matches,9b30df1e
2199,Carlos Salcedo,mx MEX,DF,Eint Frankfurt,de Bundesliga,23,1993,17.9,973,904,66,48,0,25,6,18,0,0,0,0,778,3,18,Matches,64c07ae1
2200,Eddie Salcedo,it ITA,FW,Genoa,it Serie A,15,2001,0.4,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,0489bb30
2201,Yannis Salibur,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,16.9,627,573,53,14,1,2,79,7,30,19,7,2,472,1,26,Matches,bb4a42be
2202,Sejad Salihović,ba BIH,MF,Hamburger SV,de Bundesliga,32,1984,4.1,244,201,43,17,0,5,33,7,19,10,6,0,174,0,6,Matches,a4e14205
2203,Yoann Salmier,gf GUF,DF,Strasbourg,fr Ligue 1,24,1992,12.3,540,523,15,15,0,12,0,0,0,0,0,0,457,2,1,Matches,c3725db2
2204,Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,27,1990,21.0,664,364,295,111,0,0,0,0,0,0,0,0,363,5,0,Matches,cfe852d8
2205,Brice Samba,cg CGO,GK,Caen,fr Ligue 1,23,1994,3.5,103,65,38,9,0,0,0,0,0,0,0,0,67,0,0,Matches,60d90c55
2206,Junior Sambia,fr FRA,MF,Montpellier,fr Ligue 1,20,1996,17.1,811,697,109,28,2,4,98,27,54,17,33,0,629,5,16,Matches,24eb7ed6
2207,Frédéric Sammaritano,fr FRA,FWMF,Dijon,fr Ligue 1,31,1986,15.9,608,584,21,9,1,4,45,5,7,5,1,0,466,3,29,Matches,8802c1d5
2208,Sergi Samper,es ESP,MF,Las Palmas,es La Liga,22,1995,1.6,84,82,2,2,0,0,2,0,0,0,0,0,69,0,1,Matches,6a7586f4
2209,Jairo Samperio,es ESP,FWMF,Las Palmas,es La Liga,24,1993,6.2,155,147,5,0,2,0,8,5,0,0,0,0,96,3,8,Matches,c0a0c18f
2210,Jairo Samperio,es ESP,MFFW,Mainz 05,de Bundesliga,24,1993,0.4,7,6,0,0,0,0,0,0,0,0,0,0,4,1,0,Matches,c0a0c18f
2211,Mario Sampirisi,it ITA,DF,Crotone,it Serie A,24,1992,24.4,1096,878,215,21,0,4,35,194,0,0,0,0,820,3,12,Matches,cda2ec29
2212,Mikel San José,es ESP,MF,Athletic Club,es La Liga,28,1989,23.9,1025,993,29,20,7,8,11,0,0,0,0,0,800,3,24,Matches,003a5c72
2213,Antonio Sanabria,py PAR,FW,Betis,es La Liga,21,1996,9.5,174,148,25,1,0,0,2,0,0,0,0,0,126,1,4,Matches,0a447501
2214,Renato Sanches,pt POR,MF,Swansea City,eng Premier League,19,1997,7.8,420,383,36,16,1,6,32,8,11,8,3,0,330,1,5,Matches,032f894e
2215,Alexis Sánchez,cl CHI,MFFW,Arsenal,eng Premier League,28,1988,16.7,927,869,58,15,18,10,54,1,37,25,3,0,643,0,31,Matches,2c0f8e9e
2216,Alexis Sánchez,cl CHI,FWMF,Manchester Utd,eng Premier League,28,1988,11.6,637,591,34,15,11,7,43,0,17,8,6,0,451,12,26,Matches,2c0f8e9e
2217,Carlos Sánchez,co COL,MFDF,Fiorentina,it Serie A,31,1986,4.1,252,245,6,5,1,1,0,0,0,0,0,0,210,1,3,Matches,50b51fac
2218,Carlos Sánchez,co COL,MF,Espanyol,es La Liga,31,1986,12.5,584,569,13,13,0,10,1,0,0,0,0,0,478,2,5,Matches,50b51fac
2219,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,21,1996,28.2,1879,1825,51,45,0,14,3,6,0,0,0,0,1677,3,6,Matches,da7b447d
2220,Sergio Sánchez,es ESP,DF,Espanyol,es La Liga,31,1986,1.1,41,26,14,2,0,1,1,12,0,0,0,0,28,1,0,Matches,83a83b0a
2221,Víctor Sánchez,es ESP,MFDF,Espanyol,es La Liga,29,1987,27.3,1404,1197,200,39,0,9,67,152,9,4,5,0,1007,7,26,Matches,ad4d0985
2222,Jadon Sancho,eng ENG,FW,Dortmund,de Bundesliga,17,2000,7.7,374,365,9,1,1,2,14,3,4,3,0,0,306,0,9,Matches,dbf053da
2223,Sandro,br BRA,MF,Benevento,it Serie A,28,1989,12.8,709,702,7,6,0,1,1,0,1,0,0,0,627,0,6,Matches,c1c2c925
2224,Alex Sandro,br BRA,DF,Juventus,it Serie A,26,1991,23.5,1699,1494,199,18,2,27,90,181,0,0,0,0,1417,6,36,Matches,0d82903c
2225,Arona Sané,sn SEN,MFFW,Atlético Madrid,es La Liga,22,1995,0.7,15,15,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches,22df75d8
2226,Lamine Sané,sn SEN,DF,Werder Bremen,de Bundesliga,30,1987,8.7,395,378,17,15,0,3,0,1,0,0,0,0,324,0,5,Matches,125cb9fe
2227,Leroy Sané,de GER,FW,Manchester City,eng Premier League,21,1996,26.9,1208,1125,80,4,2,2,93,21,55,2,39,0,957,3,30,Matches,2b114be3
2228,Salif Sané,sn SEN,DF,Hannover 96,de Bundesliga,26,1990,32.0,1813,1668,139,127,1,15,4,12,0,0,0,0,1459,6,22,Matches,791abba1
2229,Ibrahim Sangaré,ci CIV,MF,Toulouse,fr Ligue 1,19,1997,17.6,829,805,23,13,7,10,15,6,0,0,0,0,609,1,18,Matches,bced0375
2230,Younousse Sankharé,sn SEN,MF,Bordeaux,fr Ligue 1,27,1989,20.9,894,869,19,14,4,3,5,5,0,0,0,0,752,6,10,Matches,c650629d
2231,Baissama Sankoh,gn GUI,MFDF,Caen,fr Ligue 1,25,1992,17.1,541,532,8,5,1,3,4,2,0,0,0,0,423,1,7,Matches,a8b4a643
2232,Siriki Sanogo,ci CIV,MF,Benevento,it Serie A,15,2001,0.4,18,17,0,0,0,0,0,0,0,0,0,0,14,1,0,Matches,ff120e44
2233,Yaya Sanogo,fr FRA,FW,Toulouse,fr Ligue 1,24,1993,16.8,320,308,12,1,1,3,5,0,0,0,0,0,179,0,18,Matches,11ced928
2234,Morgan Sanson,fr FRA,MF,Marseille,fr Ligue 1,22,1994,24.1,1078,1041,30,12,11,16,82,10,7,7,0,0,831,7,23,Matches,6e7f1353
2235,Nicola Sansone,it ITA,FWMF,Villarreal,es La Liga,25,1991,7.1,239,211,24,3,1,2,17,2,9,4,0,1,177,4,10,Matches,7eb97a8e
2236,Baptiste Santamaria,fr FRA,MF,Angers,fr Ligue 1,22,1995,28.8,1191,1184,4,1,4,12,16,2,1,1,0,0,929,3,16,Matches,5e22e2a4
2237,Ivan Santini,hr CRO,FW,Caen,fr Ligue 1,28,1989,30.9,717,695,20,0,2,1,4,1,0,0,0,0,452,2,20,Matches,086d7db3
2238,Davide Santon,it ITA,DF,Inter,it Serie A,26,1991,9.3,549,477,69,5,1,5,16,64,0,0,0,0,439,3,12,Matches,88c89891
2239,Christian Santos,ve VEN,FW,Alavés,es La Liga,29,1988,4.8,137,135,1,0,0,0,1,0,0,0,0,0,89,1,0,Matches,4efd29bb
2240,Douglas Santos,br BRA,DF,Hamburger SV,de Bundesliga,23,1994,26.4,1498,1133,357,29,0,15,83,318,10,2,7,0,1040,8,55,Matches,c50e5bba
2241,Samir Santos,br BRA,DF,Udinese,it Serie A,22,1994,28.5,1370,1201,164,35,0,4,20,128,1,0,1,0,1120,5,21,Matches,92b4758e
2242,Antonio Santurro,do DOM,GK,Bologna,it Serie A,25,1992,1.0,47,26,20,5,0,0,0,0,0,0,0,0,24,1,0,Matches,61228681
2243,Riccardo Saponara,it ITA,MFFW,Fiorentina,it Serie A,25,1991,10.0,444,423,19,5,8,6,24,1,13,3,7,2,347,2,15,Matches,3bb7af3b
2244,Pablo Sarabia,es ESP,FWMF,Sevilla,es La Liga,25,1992,26.6,1178,1057,113,20,8,3,113,48,45,20,16,0,865,8,45,Matches,9744ff80
2245,Yusuf Sari,tr TUR,FW,Marseille,fr Ligue 1,18,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a2da58b1
2246,Bouna Sarr,sn SEN,DFFW,Marseille,fr Ligue 1,25,1992,19.9,1330,1128,202,19,1,1,84,174,9,3,4,0,1136,0,25,Matches,1a4b9094
2247,Ismaila Sarr,sn SEN,FWMF,Rennes,fr Ligue 1,19,1998,20.6,441,431,9,1,2,0,35,2,0,0,0,0,328,1,18,Matches,bfdb33aa
2248,Malang Sarr,fr FRA,DF,Nice,fr Ligue 1,18,1999,14.7,1110,1050,59,27,1,23,11,32,0,0,0,0,980,1,14,Matches,4315f30d
2249,Imanol Sarriegi,es ESP,MFFW,Eibar,es La Liga,22,1995,0.5,25,25,0,0,0,0,0,0,0,0,0,0,20,0,0,Matches,b32b7d1b
2250,Marco Sau,it ITA,FWMF,Cagliari,it Serie A,29,1987,14.6,388,370,16,2,0,0,14,2,3,0,0,0,289,2,22,Matches,1ad1f50d
2251,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,26,1991,25.5,994,962,31,29,0,7,3,2,0,0,0,0,809,1,11,Matches,f6ac68c1
2252,Gianluca Scamacca,it ITA,FWMF,Sassuolo,it Serie A,18,1999,0.3,17,15,2,1,0,0,1,0,1,1,0,0,12,0,2,Matches,8790f988
2253,Fabian Schär,ch SUI,DF,La Coruña,es La Liga,25,1991,24.7,957,874,72,71,4,29,1,1,0,0,0,0,758,11,3,Matches,c8aa95da
2254,Ezequiel Schelotto,it ITA,DF,Brighton,eng Premier League,28,1989,14.6,621,482,139,6,1,1,33,133,0,0,0,0,448,0,23,Matches,a6e316c1
2255,Pasquale Schiattarella,it ITA,MF,SPAL,it Serie A,30,1987,22.1,1192,1097,84,54,4,6,39,12,18,2,9,0,942,11,25,Matches,bd84fc61
2256,Eros Schiavon,it ITA,MFDF,SPAL,it Serie A,34,1983,4.3,135,116,18,3,0,0,8,15,0,0,0,0,85,1,7,Matches,c4f97172
2257,Patrik Schick,cz CZE,FWMF,Roma,it Serie A,21,1996,11.0,290,276,12,0,2,0,7,3,0,0,0,0,223,2,6,Matches,5d4f7d61
2258,Julian Schieber,de GER,MFFW,Hertha BSC,de Bundesliga,28,1989,0.6,13,13,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,37c213cf
2259,Christopher Schindler,de GER,DF,Huddersfield,eng Premier League,27,1990,36.3,1401,1359,38,34,0,7,4,4,0,0,0,0,1133,4,6,Matches,8ae9869d
2260,Sven Schipplock,de GER,FWMF,Hamburger SV,de Bundesliga,28,1988,3.8,83,72,10,0,0,0,0,1,0,0,0,0,48,1,3,Matches,53eeaf6a
2261,Jeffrey Schlupp,gh GHA,DFMF,Crystal Palace,eng Premier League,24,1992,19.4,827,675,151,10,0,1,31,141,0,0,0,0,601,1,30,Matches,3312f911
2262,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,30,1986,32.9,1142,715,424,151,0,18,0,0,0,0,0,0,614,3,1,Matches,53af52f3
2263,Marcel Schmelzer,de GER,DF,Dortmund,de Bundesliga,29,1988,16.6,1313,1110,194,29,0,4,37,165,0,0,0,0,1063,9,38,Matches,89565ac5
2264,Jonathan Schmid,fr FRA,DFFW,Augsburg,de Bundesliga,27,1990,16.4,645,473,169,18,0,2,88,102,49,9,35,0,455,3,23,Matches,088ca1bd
2265,Manuel Schmiedebach,de GER,MF,Hannover 96,de Bundesliga,28,1988,1.8,70,70,0,0,0,1,2,0,0,0,0,0,48,0,3,Matches,d8f5dc3d
2266,Benno Schmitz,de GER,DF,RB Leipzig,de Bundesliga,22,1994,0.9,55,48,7,1,0,0,1,6,0,0,0,0,44,0,0,Matches,ad00b1a8
2267,Morgan Schneiderlin,fr FRA,MF,Everton,eng Premier League,27,1989,23.7,1143,1119,20,14,0,14,8,1,4,0,0,4,951,4,10,Matches,51b41c5c
2268,Alessandro Schöpf,at AUT,DFFW,Schalke 04,de Bundesliga,23,1994,9.0,428,349,75,7,0,0,19,65,3,0,3,0,321,4,16,Matches,106bca06
2269,Nico Schulz,de GER,FWMF,Hoffenheim,de Bundesliga,24,1993,19.8,1031,858,168,10,1,8,81,157,1,0,0,0,751,5,54,Matches,fa274d97
2270,André Schürrle,de GER,FW,Dortmund,de Bundesliga,26,1990,13.7,547,506,40,3,2,5,55,7,23,9,11,0,398,1,18,Matches,ecbb3fdf
2271,Julian Schuster,de GER,DFMF,Freiburg,de Bundesliga,32,1985,14.5,762,628,131,75,0,5,74,2,54,21,23,4,603,3,6,Matches,d0421d25
2272,Pirmin Schwegler,ch SUI,MF,Hannover 96,de Bundesliga,30,1987,25.8,1364,1160,198,105,0,9,122,1,91,38,45,3,1023,6,24,Matches,5528407e
2273,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,25,1992,32.3,1352,939,409,102,0,0,0,0,0,0,0,0,853,4,0,Matches,0d55d942
2274,Simone Scuffet,it ITA,GK,Udinese,it Serie A,21,1996,6.0,159,106,51,9,0,0,0,0,0,0,0,0,88,2,0,Matches,41bd99ea
2275,Sergio Segura García,es ESP,DF,Leganés,es La Liga,21,1995,0.3,,,,,,,0,,,,,,,,,Matches,3536fdc1
2276,Ernest Seka,gn GUI,DF,Strasbourg,fr Ligue 1,30,1987,24.2,1344,1106,237,11,3,3,30,226,0,0,0,0,1029,1,27,Matches,e1b3413d
2277,Vahid Selimović,lu LUX,DF,Metz,fr Ligue 1,20,1997,11.7,469,441,27,16,0,5,0,11,0,0,0,0,380,1,5,Matches,6aeb647a
2278,Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,22,1995,21.0,440,423,14,0,0,0,13,0,0,0,0,0,257,3,19,Matches,1238a3f9
2279,Ole Selnæs,no NOR,MF,Saint-Étienne,fr Ligue 1,23,1994,22.9,1266,1205,56,40,4,17,26,1,15,9,6,0,1032,5,15,Matches,4db2157a
2280,Nélson Semedo,pt POR,DF,Barcelona,es La Liga,23,1993,16.6,1148,972,176,21,1,5,15,155,0,0,0,0,1000,0,25,Matches,d04b94db
2281,Rúben Semedo,pt POR,DFMF,Villarreal,es La Liga,23,1994,2.6,89,86,3,2,0,0,0,1,0,0,0,0,78,0,1,Matches,c904f3d5
2282,Stefano Sensi,it ITA,MF,Sassuolo,it Serie A,21,1995,11.6,555,490,64,35,2,5,44,1,24,17,6,0,444,1,8,Matches,b70bde8f
2283,Luigi Sepe,it ITA,GK,Napoli,it Serie A,26,1991,1.0,19,13,6,1,0,0,0,0,0,0,0,0,17,0,0,Matches,343f753a
2284,Suat Serdar,de GER,MF,Mainz 05,de Bundesliga,20,1997,18.9,557,548,7,1,1,4,5,1,0,0,0,0,442,2,19,Matches,b3325a30
2285,Jean Seri,ci CIV,MF,Nice,fr Ligue 1,26,1991,29.1,2773,2584,182,105,5,27,88,3,74,30,34,1,2452,7,25,Matches,10efd0e1
2286,Julien Serrano,fr FRA,DF,Monaco,fr Ligue 1,19,1998,3.1,168,138,30,3,0,0,20,27,0,0,0,0,109,0,7,Matches,7fb301af
2287,Grégory Sertic,fr FRA,DFMF,Marseille,fr Ligue 1,27,1989,3.9,196,190,5,5,1,1,0,0,0,0,0,0,171,1,3,Matches,c4527123
2288,Stéphane Sessègnon,bj BEN,MFFW,Montpellier,fr Ligue 1,33,1984,10.9,502,446,53,20,9,5,30,10,21,8,10,0,392,3,11,Matches,35c5f9b1
2289,Lee Seung-woo,kr KOR,MFFW,Hellas Verona,it Serie A,19,1998,4.0,164,156,8,2,0,2,4,2,2,1,0,0,126,0,4,Matches,0f22b650
2290,Stephan El Shaarawy,it ITA,FW,Roma,it Serie A,24,1992,23.9,1003,959,42,3,9,8,35,24,14,9,0,0,812,2,30,Matches,d3aaad90
2291,Meritan Shabani,al ALB,FW,Bayern Munich,de Bundesliga,18,1999,0.6,16,16,0,0,0,1,0,0,0,0,0,0,11,0,0,Matches,012c38ec
2292,Xherdan Shaqiri,ch SUI,MFFW,Stoke City,eng Premier League,25,1991,33.8,1293,1043,242,82,15,11,201,29,88,48,32,4,923,8,33,Matches,6421ec64
2293,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,22,1995,8.8,585,495,89,5,0,2,30,77,7,0,6,0,465,1,23,Matches,9c94165b
2294,Ryan Shawcross,eng ENG,DF,Stoke City,eng Premier League,29,1987,26.3,668,648,18,17,0,3,0,1,0,0,0,0,449,2,5,Matches,285a3d44
2295,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,25,1992,25.2,1480,1302,165,107,21,23,79,6,45,24,13,1,1031,13,21,Matches,3727dd3c
2296,Gaku Shibasaki,jp JPN,MFFW,Getafe,es La Liga,25,1992,11.1,357,323,33,11,4,6,26,2,15,3,4,0,256,1,8,Matches,d2ac648c
2297,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,25,1992,23.9,1688,1404,280,30,4,16,58,249,1,0,0,0,1414,4,32,Matches,4c5b714f
2298,Sidnei,br BRA,DF,La Coruña,es La Liga,27,1989,19.8,769,739,29,29,2,18,4,0,0,0,0,0,642,1,2,Matches,b14d0c5d
2299,Jaime Sierra Mateos,es ESP,FWMF,Leganés,es La Liga,19,1998,0.3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,aaa4239e
2300,Vincent Sierro,ch SUI,MFFW,Freiburg,de Bundesliga,21,1995,2.4,66,64,2,2,0,0,6,0,0,0,0,0,43,0,4,Matches,92ffb8f9
2301,Gylfi Sigurðsson,is ISL,MFFW,Everton,eng Premier League,27,1989,25.1,861,703,152,63,6,0,150,5,75,36,37,0,562,6,40,Matches,76dd1480
2302,Kolbeinn Sigþórsson,is ISL,FW,Nantes,fr Ligue 1,27,1990,0.3,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches,adf825b9
2303,Adrien Silva,pt POR,MF,Leicester City,eng Premier League,28,1989,8.5,439,419,18,7,3,1,4,0,0,0,0,0,353,2,8,Matches,d6f88a1d
2304,André Silva,pt POR,FW,Milan,it Serie A,21,1995,10.4,313,296,13,1,1,0,6,3,0,0,0,0,232,4,16,Matches,3effaa34
2305,Bernardo Silva,pt POR,FWMF,Manchester City,eng Premier League,22,1994,17.0,1000,969,30,6,2,6,50,14,10,1,0,0,836,1,22,Matches,3eb22ec9
2306,David Silva,es ESP,MF,Manchester City,eng Premier League,31,1986,27.0,2520,2429,81,26,18,4,74,7,48,0,27,0,2183,10,43,Matches,e2716bd0
2307,Gabriel Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,26,1991,23.1,1128,838,285,28,0,7,54,257,0,0,0,0,891,5,38,Matches,4914ed4a
2308,Jonathan Silva,ar ARG,DF,Roma,it Serie A,23,1994,1.2,86,65,21,2,0,0,5,18,1,0,1,0,72,0,3,Matches,f2308b33
2309,Thiago Silva,br BRA,DF,Paris S-G,fr Ligue 1,32,1984,23.5,1723,1663,55,49,0,11,1,5,0,0,0,0,1650,5,4,Matches,86e7deaf
2310,Matías Silvestre,ar ARG,DF,Sampdoria,it Serie A,32,1984,34.0,2250,2133,112,111,0,26,2,1,0,0,0,0,1986,5,9,Matches,b6ca47a2
2311,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,26,1991,2.0,55,28,26,2,0,0,0,0,0,0,0,0,40,1,0,Matches,0d422df7
2312,Giovanni Simeone,ar ARG,FW,Fiorentina,it Serie A,22,1995,33.3,561,527,29,0,3,2,19,2,0,0,0,0,383,5,24,Matches,343c0d52
2313,Lorenco Šimić,hr CRO,DF,SPAL,it Serie A,21,1996,3.5,116,113,1,1,0,3,0,0,0,0,0,0,86,2,1,Matches,65e4dede
2314,Stefan Simić,cz CZE,DF,Crotone,it Serie A,22,1995,6.2,211,195,15,8,0,4,0,7,0,0,0,0,165,1,2,Matches,b5365398
2315,David Simón,es ESP,DF,Las Palmas,es La Liga,28,1988,8.0,525,426,99,9,1,3,29,90,0,0,0,0,413,0,10,Matches,251336da
2316,Danny Simpson,eng ENG,DF,Leicester City,eng Premier League,30,1987,25.6,1195,905,288,22,2,6,23,266,0,0,0,0,898,2,26,Matches,3201b03d
2317,Jack Simpson,eng ENG,DF,Bournemouth,eng Premier League,20,1996,0.8,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,76fa5f80
2318,Josh Sims,eng ENG,FWMF,Southampton,eng Premier League,20,1997,1.8,65,63,2,0,0,0,3,0,2,0,0,0,50,0,1,Matches,6d6f09dc
2319,Jerome Sinclair,eng ENG,MFFW,Watford,eng Premier League,20,1996,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches,1695c659
2320,Giovanni Sio,ci CIV,FW,Montpellier,fr Ligue 1,28,1989,24.4,635,591,42,0,2,4,30,3,0,0,0,0,421,2,31,Matches,0fe7f7bc
2321,Dimitris Siovas,gr GRE,DF,Leganés,es La Liga,28,1988,22.9,744,704,35,27,0,4,2,8,0,0,0,0,547,5,5,Matches,92d38e6c
2322,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,29,1988,4.8,188,139,48,14,0,2,0,0,0,0,0,0,126,1,0,Matches,0d8a37c2
2323,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,30,1987,37.0,1310,867,439,120,0,3,0,0,0,0,0,0,926,4,2,Matches,10dc46f0
2324,Moussa Sissoko,fr FRA,MFFW,Tottenham,eng Premier League,27,1989,15.4,900,879,20,6,3,6,19,11,2,0,0,0,740,1,24,Matches,2acd49b9
2325,Pione Sisto,dk DEN,FWMF,Celta Vigo,es La Liga,22,1995,28.0,1075,1010,60,22,6,18,78,12,26,10,4,0,863,5,20,Matches,fd9c4805
2326,Antonio Sivera,es ESP,GK,Alavés,es La Liga,20,1996,0.7,15,9,6,1,0,0,0,0,0,0,0,0,7,0,0,Matches,9970da54
2327,Ellyes Skhiri,tn TUN,MF,Montpellier,fr Ligue 1,22,1995,33.9,1584,1552,28,26,7,27,8,2,0,0,0,0,1355,4,26,Matches,c2211709
2328,Łukasz Skorupski,pl POL,GK,Roma,it Serie A,26,1991,1.0,37,29,8,1,0,0,0,0,0,0,0,0,30,0,0,Matches,ab4449d6
2329,Milan Škriniar,sk SVK,DF,Inter,it Serie A,22,1995,38.0,2387,2293,88,87,3,24,0,1,0,0,0,0,2172,6,6,Matches,30f5ffa9
