,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
141,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,24,1992,15.9,1035,837,194,7,1,2,68,187,0,0,0,0,779,4,35,Matches,5c2b4f07
142,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,28,1989,11.5,250,241,6,0,1,0,2,1,0,0,0,0,168,3,8,Matches,8d228291
143,Danilo Avelar,br BRA,DF,Amiens,fr Ligue 1,28,1989,19.2,855,674,175,19,1,5,64,156,0,0,0,0,550,6,17,Matches,eacb45fd
144,Felipe Avenatti,uy URU,FW,Bologna,it Serie A,24,1993,5.2,142,139,2,0,0,2,6,0,0,0,0,0,80,1,5,Matches,23f9e9d3
145,Durel Avounou,cg CGO,DFMF,Caen,fr Ligue 1,19,1997,7.2,267,230,37,2,0,1,21,35,0,0,0,0,181,0,9,Matches,833a91a1
146,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20,1997,16.8,648,558,86,32,0,7,2,54,0,0,0,0,484,4,9,Matches,70d8e84c
147,André Ayew,gh GHA,MFFW,West Ham,eng Premier League,27,1989,9.9,291,279,9,1,1,1,8,1,0,0,0,0,216,3,16,Matches,5dbefa9d
148,André Ayew,gh GHA,MFFW,Swansea City,eng Premier League,27,1989,10.6,314,302,12,1,4,1,8,3,0,0,0,0,247,0,4,Matches,5dbefa9d
149,Jordan Ayew,gh GHA,FWMF,Swansea City,eng Premier League,25,1991,31.7,887,850,35,7,3,0,45,5,0,0,0,0,700,2,27,Matches,da052c14
150,Karim Azamoum,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.0,955,894,56,28,1,7,64,1,27,9,11,0,654,5,35,Matches,eaf71a5e
151,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27,1989,37.0,2924,2789,122,51,10,22,80,71,0,0,0,0,2469,13,23,Matches,53cad200
152,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,856,689,164,21,0,0,23,143,0,0,0,0,655,3,12,Matches,d3ce9f1f
153,Khouma Babacar,sn SEN,FW,Fiorentina,it Serie A,24,1993,5.0,103,97,4,0,1,1,5,1,0,0,0,0,77,2,4,Matches,422ec08a
154,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,24,1993,8.3,137,129,7,0,1,1,2,0,0,0,0,0,107,1,0,Matches,422ec08a
155,Carlos Bacca,co COL,FW,Villarreal,es La Liga,30,1986,27.7,538,492,41,0,1,4,11,2,2,0,0,0,388,5,13,Matches,09a9e921
156,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,28,1989,26.1,1775,1691,79,44,8,14,14,4,0,0,0,0,1469,5,21,Matches,e8c930bb
157,Holger Badstuber,de GER,DFMF,Stuttgart,de Bundesliga,28,1989,24.1,1100,1046,48,47,0,8,2,1,0,0,0,0,910,6,9,Matches,45b7edae
